Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.............................","674,408","155,972","119,844","143,081","63,571","29,248","21,389",0,0,0,0,"11,198,528","12,406,039"
"Crab, box..........................................",313,0,0,0,0,0,0,0,0,0,0,0,313
"Shrimp, coonstriped.........................",0,0,0,0,"23,965","13,899","17,524","10,957","18,813","15,658",0,0,"100,816"
"Shrimp, ocean (pink).......................",0,0,0,4,"178,171","536,497","947,462","637,951","309,051",0,0,0,"2,609,136"
Mollusks,,,,,,,,,,,,,
"Clam, unspecified...........................",0,15,0,0,0,0,0,0,0,0,0,0,15
"Mollusk, unspecified........................",0,0,0,0,270,0,0,0,0,0,0,0,270
Mussel................................................,12,40,0,0,0,0,0,0,0,0,0,0,52
Worms,,,,,,,,,,,,,
Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Worms,,,,,,,,,,,,,
Jellyfish..............................................,0,0,0,0,49  0,,0,0  0,,0,0,0,49
Waters Area Total:,"1,539,868","811,691","1,022,714","1,082,598","4,961,728  1,597,517",,"1,936,849","2,005,260  1,503,858",,"861,871","494,546","11,323,914","29,142,414"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, albacore.................................",0,0,0,0,0  0,,610,"10,695  24,868",,0,0,0,"36,173"
Waters Area Total:,0,0,0,0,0  0,,610,"10,695  24,868",,0,0,0,"36,173"
Waters North Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, group slope......................",0,0,0,0,0  0,,0,0  0,,104,150,0,254
Sablefish............................................,0,0,0,0,0  0,,0,"0  1,500",,"2,497","1,461",0,"5,458"
"Tuna, albacore.................................",0,0,0,0,0  0,,"14,222","69,503  5,209",,702,0,0,"89,636"
"Tuna, skipjack...................................",0,0,0,0,0  0,,0,350  0,,0,0,0,350
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.............................","1,916",0,0,0,0  0,,0,0  0,,0,0,"154,129","156,045"
Waters Area Total:,"1,916",0,0,0,0  0,,"14,222","69,853  6,709",,"3,303","1,611","154,129","251,743"
Grand Total:,"1,541,784","811,691","1,022,714","1,082,598","4,961,728  1,597,517",,"1,951,681","2,085,808  1,535,435",,"865,174","496,157","11,478,043","29,430,330"
"",,,,,*******************,,,,,,,,
"",,,,,,,,Total Records:,,"14,025",,,
"",,,,,End of Report,,,,,,,,
