Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,0,0,0,0,0,50,0,0,0,,50
Cabezon..........................................,146,76,0,0,357,421,553,257,104,297,379,22,,"2,612"
"Cod, Pacific....................................",4,0,0,52,6,126,177,115,12,4,0,0,,496
"Fish, unspecified..........................",0,0,0,0,1,0,0,0,0,0,0,0,,1
"Flounder, arrowtooth....................","15,930","5,854","53,214","13,956","2,988","14,287","9,229","19,538","16,076","11,185","5,862","11,066",,"179,185"
"Flounder, starry.............................",0,0,0,24,45,284,369,"1,107",210,14,0,0,,"2,053"
"Greenling, kelp..............................",293,174,0,0,72,171,126,161,42,127,72,7,,"1,245"
Grenadier........................................,163,"1,019",9,0,0,"2,121","2,163","5,192",0,3,17,"3,632",,"14,319"
Hagfishes.......................................,"56,792","52,219","48,444","13,572","63,633","11,649","49,790","60,101","63,644","91,837","72,254","19,913",,"603,848"
"Halibut, Pacific..............................",0,0,0,0,0,0,138,0,0,0,0,0,,138
Jacksmelt........................................,0,0,0,0,0,0,0,22,40,0,0,0,,62
Lingcod............................................,209,369,"1,280","1,950","5,943","12,684","18,884","8,856","14,318","14,099","3,634",667,,"82,893"
Louvar..............................................,0,0,0,0,0,0,0,0,0,109,0,0,,109
"Ratfish, spotted............................",0,0,0,0,0,0,0,0,0,0,0,33,,33
"Ray, bat...........................................",0,0,0,0,0,0,0,0,0,15,0,0,,15
"Rockfish, China.............................",54,43,28,48,52,64,23,64,23,122,71,5,,596
"Rockfish, Pacific ocean perch..",33,29,59,0,2,10,0,12,7,48,5,3,,208
"Rockfish, black-and-yellow.......",0,0,0,0,2,5,22,3,0,0,0,0,,32
"Rockfish, black..............................","12,587","12,420","22,638","17,092","24,394","24,086","21,944","25,737","26,613","14,187","14,357",986,,"217,041"
"Rockfish, blackgill........................",0,0,2,0,0,6,0,106,0,0,3,0,,117
"Rockfish, blue................................",694,701,857,169,395,239,447,639,951,396,748,97,,"6,333"
"Rockfish, bocaccio......................",0,0,0,35,26,0,0,3,59,512,0,0,,635
"Rockfish, brown............................",0,0,0,0,14,30,41,10,6,7,5,0,,113
"Rockfish, canary...........................",91,0,0,185,622,220,139,416,462,"6,951",0,0,,"9,086"
"Rockfish, chilipepper...................",497,0,0,"1,383","1,574",1,0,49,4,13,0,0,,"3,521"
"Rockfish, copper...........................",10,17,28,124,259,138,113,129,84,86,111,43,,"1,142"
"Rockfish, cowcod.........................",0,0,0,2,2,18,43,10,0,0,0,0,,75
"Rockfish, darkblotched...............","1,685",338,"2,536",419,214,427,135,364,346,666,979,80,,"8,189"
"Rockfish, gopher...........................",0,0,0,0,7,0,2,2,0,3,0,0,,14
"Rockfish, grass.............................",0,0,0,0,32,54,107,14,0,0,0,0,,207
"Rockfish, group shelf..................",87,43,0,61,338,"1,938","1,539",793,"1,446",28,10,17,,"6,300"
"Rockfish, group slope.................","1,019","3,893","3,530","2,975",331,"2,683","1,060","2,654","4,819","3,094",609,887,,"27,554"
"Rockfish, group small..................",0,0,0,0,0,0,4,0,0,0,0,4,,8
"Rockfish, olive...............................",6,18,8,0,31,48,55,15,12,4,8,0,,205
"Rockfish, quillback.......................",45,24,66,222,449,526,114,57,159,227,89,8,,"1,987"
"Rockfish, redbanded....................",0,0,0,0,0,0,0,0,0,5,0,0,,5
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Rockfish, rosethorn......................",0,0,0,0,1,0,0,0,0,0,0,0,,1
"Rockfish, rougheye......................",0,0,0,0,0,11,0,18,46,108,17,0,,200
"Rockfish, shortraker.....................",0,0,0,0,0,0,9,20,16,79,24,28,,176
"Rockfish, unspecified..................",0,0,0,0,0,0,0,4,0,0,0,0,,4
"Rockfish, vermilion.......................",175,144,105,259,273,203,273,470,371,453,155,45,,"2,927"
"Rockfish, widow............................",162,8,0,79,23,57,74,35,62,108,0,0,,608
"Rockfish, yellowtail......................",88,270,36,60,676,738,522,"4,250","2,424",303,18,85,,"9,470"
Sablefish.........................................,"63,044","74,768","109,489","44,283","47,336","53,640","60,449","109,673","103,302","61,578","36,164","57,865",,"821,591"
"Salmon, Chinook...........................",0,0,0,0,"35,958","17,798","7,566","5,197","2,099",98,0,0,,"68,716"
"Sanddab, Pacific..........................",0,0,0,0,0,0,0,0,"2,520",0,0,0,,"2,520"
Sanddab..........................................,621,0,0,564,"4,069","11,035","3,279","7,704","1,594","3,936",0,0,,"32,802"
"Seaperch, striped.........................",0,0,0,323,0,0,0,0,0,0,0,0,,323
"Shark, brown smoothhound.......",0,0,0,0,0,0,0,0,0,11,0,0,,11
"Shark, leopard...............................",0,0,0,0,0,0,0,0,0,24,0,0,,24
"Shark, shortfin mako....................",0,0,0,0,0,0,0,0,0,158,151,30,,339
"Shark, spiny dogfish....................",0,0,0,0,0,0,0,0,0,0,0,333,,333
"Shark, thresher..............................",0,0,0,0,0,0,0,0,0,146,540,"1,435",,"2,121"
"Skate, California............................",0,0,0,0,0,4,0,0,0,0,0,0,,4
"Skate, big........................................",930,672,"1,048","2,366","3,600","12,972","3,150","19,015","3,963","5,354",0,33,,"53,103"
"Skate, longnose............................","17,716","13,469","27,538","2,996","7,799","23,353","16,100","35,384","31,459","35,465","17,712","9,730",,"238,721"
"Skate, unspecified.......................",275,0,0,612,969,"3,142","9,087",0,649,0,0,0,,"14,734"
"Smelt, night....................................","9,755","37,685","79,861","43,919","65,706","87,255","49,986","9,986","3,212",0,0,0,,"387,365"
"Smelt, surf......................................",275,0,0,"3,334","21,551","18,127","15,959","39,587",838,"4,347",0,0,,"104,018"
"Sole, Dover.....................................","230,203","344,467","419,084","123,854","110,765","176,437","219,552","315,989","233,297","295,806","198,858","114,251",,"2,782,563"
"Sole, English..................................","5,682",463,167,"3,692","7,218","24,113","17,954","12,099","13,480","11,943",0,59,,"96,870"
"Sole, petrale...................................","124,672","72,571","40,656","9,409","31,273","75,644","48,513","47,280","37,290","33,134","33,211","45,356",,"599,009"
