California Waters Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Smelt, night","2,418",673,"19,136","53,525","91,032","74,367","48,031","26,771",576,0,0,0,"316,529"
"Smelt, surf",0,0,0,0,645,0,0,0,0,0,0,0,645
"Sole, curlfin",0,0,0,0,0,0,0,35,0,0,1,0,36
"Sole, Dover","49,701","88,385","299,388","221,949","279,074","233,399","298,729","395,509","203,329","282,161","230,524","120,604","2,702,752"
"Sole, English","1,221",0,"2,399","4,502","4,921","5,852","27,777","18,459","4,765","3,299","1,834",872,"75,901"
"Sole, petrale","66,610","12,446","72,289","45,601","97,163","58,193","111,301","118,951","50,433","32,757","46,990","28,523","741,256"
"Sole, rex","1,847","2,725","10,306","6,631","13,549","6,621","10,830","21,036","5,163","13,548","13,186","3,843","109,285"
"Sole, rock",0,0,0,0,0,0,0,10,0,5,9,0,24
"Sole, sand",0,0,0,0,0,0,0,3,0,0,0,0,3
"Sole, unspecified",0,0,0,0,0,0,0,29,0,0,0,0,29
"Surfperch, calico",0,0,162,367,0,0,0,0,0,0,0,0,529
"Surfperch, redtail",43,0,423,952,0,0,0,"1,628","1,187",56,355,261,"4,905"
"Surfperch, walleye",0,0,0,117,0,0,0,0,2,0,0,0,119
"Thornyhead, longspine","9,995","20,436","59,967","25,292","34,709","10,128","21,691","9,236","9,963","6,873","41,128","10,569","259,987"
"Tuna, albacore",0,0,0,0,0,0,0,"124,947","62,529","149,130",0,0,"336,606"
"Whiting, Pacific",0,0,1,0,0,0,0,0,3,198,0,0,202
California Waters Crustaceans,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, brown rock 0",0,0,0,70,30,0,0,0,0,0,0,100
"Crab, Dungeness 4,673,316","3,163,494","504,597","115,356",0,0,0,0,0,0,0,"392,331","8,849,095"
"Crab, red rock 0",0,0,0,238,400,0,0,0,0,0,0,638
"Crab, rock unspecified 0",0,"2,084",0,0,0,0,0,0,0,0,0,"2,084"
"Crab, yellow rock 0",0,0,0,7,25,0,0,0,0,0,0,32
"Shrimp, coonstriped 0",0,0,0,"23,758","28,806","13,999","7,592","5,930","19,234",0,0,"99,319"
"Shrimp, ocean (pink) 0",0,0,0,"218,917","743,876","728,947","593,724","112,310","51,954",0,0,"2,449,728"
California Waters Mollusks,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Octopus, unspecified 0",0,35,25,10,0,0,0,0,0,0,0,70
"Squid, market 0",0,0,"2,014",0,0,0,0,"512,518",0,0,0,"514,532"
"California Waters Total 4,982,837","3,351,928","1,273,630","715,706","1,122,263","1,508,997","1,788,947","1,801,597","1,262,576","976,932","580,745","637,421","20,003,580"
"",,,,,,,,,,,,
Other Waters Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
Dolphin (fish) 0,0,0,0,0,0,0,0,8,0,0,0,8
"Smelt, night 0",0,0,0,0,0,0,"1,198",0,0,0,0,"1,198"
"Surfperch, redtail 0",0,0,0,0,0,0,74,0,0,0,0,74
"Tuna, albacore 0",0,0,0,0,0,285,"06,511","14,942","3,812",0,0,"25,5508"
Tuna bluefin 0,0,0,0,0,0,0,0,28,0,0,0,28
Other Waters Total 0,0,0,0,0,0,285,"7,783","14,978","3,812",0,0,"26,858"
"",,,,,,,,,,,,
Waters North of State Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Tuna, albacore 0",0,0,0,0,0,0,60,0,53,0,0,113
Yellowtail 0,0,0,0,0,0,0,0,0,27,0,0,27
Waters North of State Crustaceans,,,,,,,,,,,
Species January February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, Dungeness 0 4,999","25,680",0,0,0,0,0,0,0,0,0,"30,679"
"North of State Total 0 4,999","25,680",0,0,0,0,60,0,80,0,0,"30,818"
"Grand Total: 4,982,837 3,356,927","1,299,310","715,706","1,122,263","1,508,997","1,789,233","1,809,440","1,277,554","980,823","580,745","637,421","20,061,257"
