Species,January,February,March,April,,May,,June,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,
"Sea urchin, red...........................",0,0,0,,0,,0,,0,,2,,0,0,0,0,0,2
Mollusks,,,,,,,,,,,,,,,,,,
"Mollusk, unspecified...................",0,0,0,,401,,193,,0,,0,,0,0,0,0,0,594
Waters Area Total:,"4,038,051","1,354,922","406,498",,"2,526,646",,"6,192,068",,"1,182,719",,"1,167,860",,"1,349,225","1,407,116","2,056,116","975,542","3,030,677","25,687,439"
Species,January,February,March,,April,,May,June,,,July,August September,October,,,November,December,Landings
Waters North Of State,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,
"Tuna, albacore...........................",0,0,0,,0,,0,0,,,"2,184","22,383  10,017",,0,,0,0,"34,584"
Crustaceans,,,,,,,,,,,,,,,,,,
"Shrimp, ocean (pink).............",0,0,0,,0,,0,0,,,0,"0  8,917",,0,,0,0,"8,917"
Waters Area Total:,0,0,0,,0,,0,0,,,"2,184","22,383  18,934",,0,,0,0,"43,501"
Grand Total:,"4,038,051","1,354,922","406,498",,"2,526,646",,"6,192,068","1,182,719",,,"1,170,044","1,371,608  1,426,050","2,056,116",,,"975,542","3,030,677","25,730,940"
"",,,,,,,*******************,,,,,,,,,,,
"",,,,,,,End of Report,,,,,Total Records:,"15,392",,,,,
