$,%,&,,"! &",,( $,,),,(,%&,%&,)& &,"!",*$ !,,"+ , !",,$,"!",',
California Waters,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,
Cabezon..........................................,,85,,0,,0,,0,,337,652,760,159,"1,414",704,,217,,,555,,"4,882"
Eel.....................................................,,0,,1,,0,,0,,0,0,0,0,0,0,,0,,,0,,1
"Fish, unspecified..........................",,0,,27,,72,,0,,0,0,0,21,0,0,,0,,,0,,120
"Flounder, arrowtooth....................",,352,,"8,211",,"12,585",,"18,579",,"5,343","5,909","26,416","19,547","19,771","11,907",,"16,873",,,"16,734",,"162,227"
"Flounder, starry.............................",,0,,0,,0,,0,,0,0,0,24,0,0,,0,,,0,,24
"Greenling, kelp..............................",,0,,0,,0,,0,,43,82,67,27,88,0,,2,,,52,,360
Grenadier........................................,,"3,613",,"2,675",,"3,263",,"2,405",,"1,040","2,243","1,764","14,864","7,591","4,130",,"2,008",,,"2,183",,"47,779"
Hagfishes.......................................,,"4,160",,0,,0,,"32,802",,"43,472","34,934","26,732","41,160","85,763","37,330",,"9,681",,,"50,633",,"366,667"
"Halibut, California.........................",,0,,0,,0,,0,,0,0,0,38,0,0,,0,,,0,,38
"Halibut, Pacific..............................",,0,,0,,0,,0,,0,303,502,0,0,0,,0,,,0,,805
Lingcod............................................,,8,,36,,27,,304,,868,"2,798",979,"3,262","2,865","2,133",,"1,633",,,69,,"14,982"
"Ratfish, spotted............................",,0,,0,,3,,0,,0,0,0,0,0,0,,0,,,0,,3
"Rockfish, China.............................",,0,,0,,0,,0,,59,127,83,56,235,226,,72,,,107,,965
"Rockfish, Pacific ocean perch..",,1,,1,,3,,4,,14,9,6,14,23,16,,52,,,5,,148
"Rockfish, black-and-yellow.......",,0,,0,,0,,0,,0,1,0,0,5,15,,0,,,0,,21
"Rockfish, black..............................",,828,,"1,072",,322,,799,,"7,303","7,350","8,284","13,037","6,982","4,601",,407,,,"2,516",,"53,501"
"Rockfish, blackgill........................",,5,,0,,0,,0,,0,0,0,0,17,9,,0,,,0,,31
"Rockfish, blue................................",,"1,488",,934,,558,,"1,530",,807,380,143,634,884,"1,484",,"1,300",,,"1,734",,"11,876"
"Rockfish, bocaccio......................",,0,,0,,0,,0,,0,0,0,0,0,10,,18,,,0,,28
"Rockfish, brown............................",,0,,0,,0,,0,,0,0,4,61,10,4,,0,,,0,,79
"Rockfish, canary...........................",,0,,0,,0,,0,,0,0,0,6,0,0,,0,,,0,,6
"Rockfish, chilipepper...................",,0,,0,,7,,2,,0,2,0,19,0,0,,0,,,0,,30
"Rockfish, copper...........................",,0,,0,,3,,0,,81,114,190,76,246,252,,27,,,122,,"1,110"
"Rockfish, darkblotched...............",,18,,163,,148,,135,,741,713,307,319,562,90,,818,,,65,,"4,079"
"Rockfish, gopher...........................",,0,,0,,0,,0,,1,7,4,0,9,3,,4,,,0,,28
"Rockfish, grass.............................",,0,,0,,0,,0,,0,20,92,26,73,0,,0,,,0,,211
"Rockfish, group shelf..................",,0,,0,,0,,0,,10,6,57,0,2,8,,4,,,7,,94
"Rockfish, group slope.................",,356,,153,,456,,367,,"1,962","3,292","4,173","4,121","3,648","2,513",,"1,810",,,494,,"23,345"
"Rockfish, olive...............................",,5,,2,,0,,0,,19,7,5,4,21,74,,3,,,12,,152
"Rockfish, quillback.......................",,4,,0,,6,,5,,127,120,380,122,403,391,,38,,,260,,"1,856"
"Rockfish, redbanded....................",,0,,0,,2,,0,,0,129,0,56,0,0,,0,,,0,,187
"Rockfish, splitnose......................",,2,,0,,1,,69,,0,0,0,0,0,0,,0,,,0,,72
"Rockfish, vermilion.......................",,4,,45,,12,,5,,323,217,190,253,429,545,,114,,,180,,"2,317"
"Rockfish, widow............................",,0,,0,,5,,0,,24,0,13,10,2,18,,0,,,0,,72
"Rockfish, yellowtail......................",,6,,3,,20,,26,,81,80,48,184,43,96,,45,,,22,,654
Sablefish.........................................,,"40,745",,"40,611",,"47,164",,"74,801",,"63,456","99,066","82,403","141,520","90,527","119,675",,"79,666",,,"68,156",,"947,790"
$,% &,,,"! &",,( $,,),,(,%&,%&,)& &,"!",*$ !,,,"+ , !",,,$ !,,,'
California Waters,,,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,,,
"Salmon, Chinook...........................",0,,,0,,0,,0,,84,638,"76,187","20,372",185,,0,,,0,,0,,,"97,467"
Sanddab..........................................,0,,,0,,0,,0,,0,0,0,"2,947",0,,0,,,0,,0,,,"2,947"
"Shark, spiny dogfish....................",652,,,0,,1,,0,,0,0,0,0,0,,0,,,0,,0,,,653
"Shark, unspecified.......................",0,,,21,,40,,24,,74,15,0,0,0,,0,,,0,,0,,,174
"Skate, big........................................",0,,,0,,0,,0,,0,0,0,0,27,,0,,,0,,0,,,27
"Skate, longnose............................",519,,,"10,516",,"18,476",,"16,458",,"11,291","19,941","9,600","24,964","35,624","42,649",,,"36,106",,,"16,290",,,"242,434"
"Skate, unspecified.......................",0,,,0,,0,,0,,0,8,250,"3,789",0,,0,,,0,,330,,,"4,377"
"Smelt, night....................................","7,713",,,"43,388",,"11,109",,"27,517",,"86,933","59,048","30,542","19,102","2,496",,0,,,0,,0,,,"287,848"
"Smelt, surf......................................",0,,,0,,0,,0,,"5,127","34,901","21,172","4,539","2,241",,0,,,0,,0,,,"67,980"
"Sole, Dover.....................................","4,336",,,"175,459",,"265,900",,"210,429",,"188,045","253,259","249,843","507,928","506,479","398,331",,,"357,061",,,"208,159",,,"3,325,229"
"Sole, English..................................",1,,,446,,151,,37,,0,0,0,"1,813",8,40,,,44,,,165,,,"2,705"
"Sole, petrale...................................",368,,,"18,435",,"20,075",,"1,053",,7,18,0,"12,842",64,"4,301",,,"38,508",,,"32,238",,,"127,909"
"Sole, rex..........................................",81,,,"3,166",,"4,761",,"9,390",,"18,941","7,294","8,233","17,749","25,459","12,025",,,"11,658",,,"7,728",,,"126,485"
"Sole, unspecified..........................",12,,,100,,315,,377,,65,206,19,235,240,169,,,140,,,103,,,"1,981"
