California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Shark, pelagic thresher","3,403",444,0,0,0,0,0,0,0,365,112,"2,239","6,563"
"Shark, shortfin mako","1,044",0,0,17,130,454,513,442,333,"1,252","2,179","1,102","7,466"
"Shark, soupfin",108,94,150,272,60,222,233,27,0,0,98,132,"1,396"
"Shark, spiny dogfish",0,0,0,48,38,237,116,0,11,21,0,0,471
"Shark, swell",250,0,0,52,0,55,56,0,0,0,0,0,413
"Shark, thresher","10,082",376,"1,452","5,490","2,336",65,141,221,0,140,661,"3,525","24,489"
"Sheephead, California","2,728","2,265",0,0,"2,344","4,641","1,666","2,335","1,005","3,140","1,968",797,"22,888"
"Skate, California",0,10,0,89,27,0,0,0,0,0,0,61,187
"Skate, unspecified",45,0,0,10,0,103,64,0,0,0,0,523,745
"Sole, Dover",0,0,0,0,2,3,0,0,0,0,0,0,5
"Sole, fantail",0,0,0,11,36,52,45,33,2,4,3,1,187
"Sole, petrale",0,0,0,0,0,0,0,0,0,6,0,0,6
"Sole, rock",3,2,0,2,1,0,0,0,0,0,1,0,9
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Sole, unspecified 0",,0,0,0,0,12,17,0,0,0,0,0,29
Stingray 75,,0,0,4,0,0,0,0,0,0,0,0,79
"Sunfish, ocean 95",,0,0,0,0,0,0,0,0,0,0,0,95
"Surfperch, black 29",,46,0,0,0,0,0,149,24,2,10,32,291
"Swordfish 21,917",,"1,121",0,0,387,0,"1,416","12,189","22,972","25,993","29,801","25,614","141,411"
"Thornyhead, longspine 278",,130,44,503,401,396,243,458,287,188,228,247,"3,403"
"Thornyhead, shortspine 1,621",,865,423,"1,700","1,956","2,033","1,215","2,050","1,623","1,058","2,000","1,609","18,153"
Thornyheads 0,,4,6,2,0,3,0,0,5,3,7,2,32
Triggerfish 0,,4,0,0,0,41,16,0,0,0,0,0,61
"Tuna, bigeye 61",,0,0,0,"14,858",0,0,"17,369",0,0,0,"11,378","43,666"
"Tuna, bluefin 4,203",,95,0,166,"1,620","12,257","12,571","10,548","17,933","7,451","5,761","7,319","79,923"
"Tuna, skipjack 0",,0,0,0,0,0,0,0,0,136,68,0,204
"Tuna, skipjack, black 0",,0,0,0,0,0,0,0,0,8,0,0,8
"Tuna, yellowfin 0",,0,0,0,"3,620","1,377",588,"3,113","1,205","1,729","3,365","2,927","17,925"
Wahoo 0,,0,0,0,"2,740",0,0,801,0,0,0,"1,018","4,559"
"Whitefish, ocean 152",,330,0,100,89,236,384,371,62,61,141,132,"2,057"
Yellowtail 54,,291,314,"1,984",649,"1,915","4,232","1,366",263,98,246,"1,252","12,663"
"",,,,,,,,,,,,,
California Waters – Crustaceans,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, armed box 10",,24,0,6,0,0,4,14,82,120,4,32,294
"Crab, box 0",,2,5,62,311,914,"2,205",694,293,510,879,0,"5,874"
"Crab, brown rock 383",,946,382,346,423,223,359,310,181,279,192,242,"4,266"
"Crab, claws 0",,0,0,5,0,0,0,0,0,0,0,0,5
"Crab, king 0",,0,68,65,67,56,94,90,101,42,135,55,772
