"",,,,,,,,,,,,,,,,,,,Total
Species,January,,February,March,,April,,May,,June,July,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,
"Anchovy, northern",0,,0,0,,0,,0,,"14,225","4,500",0,,0,0,,0,0,"18,725"
"Barracuda, California",0,,0,0,,0,,51,,302,258,29,,8,0,,0,0,648
"Bass, giant sea",132,,215,111,,0,,0,,47,78,33,,53,0,,0,7,676
Blacksmith,0,,0,0,,0,,0,,0,0,0,,1,5,,0,1,7
"Bonito, Pacific",0,,0,0,,0,,0,,"1,210",899,62,,410,488,,23,96,"3,188"
Cabezon,4,,54,0,,0,,44,,156,113,0,,10,0,,65,0,446
"Corvina, shortfin",0,,0,0,,0,,7,,0,0,0,,0,0,,0,0,7
"Croaker, white",0,,0,0,,0,,0,,0,87,0,,0,0,,0,0,87
Dolphin (fish),0,,0,0,,0,,0,,0,126,788,,373,81,,0,0,"1,369"
Eel,0,,0,0,,0,,0,,0,0,0,,0,6,,0,0,6
"Eel, California moray",0,,29,21,,0,,18,,15,0,45,,4,7,,0,0,139
Escolar,0,,0,0,,0,,0,,0,0,0,,0,55,,0,0,55
"Fish, unspecified",0,,0,0,,0,,0,,0,0,0,,0,0,,401,461,862
"Flounder, arrowtooth",0,,0,0,,0,,0,,12,0,0,,0,0,,0,0,12
"Flounder, unspecified",0,,0,0,,2,,0,,0,52,16,,0,0,,0,0,71
Flyingfish,0,,0,0,,0,,0,,0,0,0,,2,0,,0,0,2
Grenadier,82,,"1,224","2,457",,381,,0,,101,351,238,,430,305,,0,262,"5,831"
"Guitarfish, shovelnose",0,,0,0,,0,,0,,0,0,0,,0,0,,0,50,50
"Hagfish, Pacific",0,,0,0,,575,,0,,0,"5,613","6,270",,"4,737","3,915",,"6,900","3,083","31,093"
"Hagfish, unspecified",0,,"1,338","7,134",,"6,162",,"12,850",,"9,859",656,0,,580,0,,0,0,"38,579"
Halfmoon,0,,0,0,,0,,0,,0,3,0,,0,0,,0,0,3
"Halibut, California","1,525",,"4,250","4,756",,"6,880",,"4,193",,"4,560","5,775","5,714",,774,722,,361,635,"40,144"
"Halibut, unspecified",0,,0,27,,0,,0,,0,0,0,,0,0,,0,0,27
Jacksmelt,0,,0,0,,0,,0,,4,84,0,,0,0,,0,0,88
Lingcod,6,,43,0,,0,,6,,26,69,20,,9,112,,44,24,360
"Lizardfish, California",0,,0,0,,0,,0,,3,0,0,,0,0,,0,0,3
Louvar,0,,0,0,,0,,0,,0,59,0,,0,79,,0,0,138
"Mackerel, bullet",0,,0,0,,38,,0,,0,0,0,,0,0,,0,0,38
Species,January,,February,March,,April,,May,,June,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,
"Mackerel, jack",0,,0,0,,0,,0,,124,85,,43,0,0,,0,0,252
"Mackerel, Pacific",973,,114,56,,0,,"5,405",,75,284,,934,569,100,,352,73,"8,934"
"Mackerel, unspecified",108,,142,373,,102,,161,,270,272,,3,0,7,,0,57,"1,495"
Oilfish,0,,0,0,,0,,0,,0,0,,0,0,0,,13,0,13
Opah,"2,757",,"1,502","1,250",,0,,909,,0,0,,0,0,"1,521",,"9,644","5,832","23,414"
Opaleye,0,,0,0,,0,,0,,0,0,,4,0,4,,0,0,8
"Ray, bat",0,,16,17,,210,,0,,5,26,,0,0,0,,0,115,389
"Rockfish, aurora",0,,0,20,,1,,0,,27,26,,13,0,0,,0,0,87
"Rockfish, bank",0,,0,136,,0,,0,,0,0,,12,0,17,,33,22,219
"Rockfish, black-and-yellow",0,,0,0,,0,,0,,0,0,,0,0,1,,0,0,1
"Rockfish, blackgill",69,,66,108,,103,,81,,170,"2,028",,67,25,327,,0,0,"3,044"
"Rockfish, bocaccio",9,,16,0,,0,,34,,14,4,,41,36,287,,167,67,675
"Rockfish, brown",0,,2,0,,0,,0,,0,0,,2,0,0,,0,3,7
"Rockfish, calico",0,,0,0,,0,,0,,7,0,,10,0,0,,0,0,17
"Rockfish, chilipepper",0,,0,0,,0,,0,,1,0,,26,19,35,,26,0,106
"Rockfish, copper",21,,11,0,,0,,54,,167,55,,14,0,85,,50,47,502
"Rockfish, flag",4,,8,0,,0,,12,,35,1,,14,0,12,,22,43,150
"Rockfish, gopher",7,,2,0,,0,,2,,15,3,,0,0,8,,0,0,36
"Rockfish, grass",2,,3,0,,0,,0,,6,0,,0,0,0,,0,0,11
"Rockfish, greenblotched",0,,0,0,,0,,0,,0,3,,0,0,0,,0,0,3
"Rockfish, greenspotted",0,,0,0,,0,,43,,66,15,,9,18,13,,32,0,197
"Rockfish, greenstriped",6,,6,0,,0,,0,,1,0,,0,0,12,,0,0,24
"Rockfish, group deep",27,,24,0,,0,,0,,11,11,,26,44,57,,10,4,214
nearshore,,,,,,,,,,,,,,,,,,,
"Rockfish, group nearshore",0,,3,0,,0,,0,,0,8,,0,0,0,,2,0,13
"Rockfish, group red",0,,0,0,,0,,0,,0,0,,86,0,300,,0,0,386
"Rockfish, group shelf",161,,104,0,,0,,172,,61,37,,163,130,166,,106,78,"1,176"
"Rockfish, group slope",0,,0,12,,0,,9,,0,0,,2,1,2,,0,0,26
"Rockfish, honeycomb",0,,4,0,,0,,30,,34,21,,55,0,0,,0,3,146
Species,January,,February,March,,April,,May,,June,,July,,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,,
"Rockfish, kelp",2,,0,0,,0,,0,,5,,5,,1,,3,3,,0,0,19
"Rockfish, Mexican",91,,0,0,,0,,152,,288,,130,,193,,127,96,,32,4,"1,111"
"Rockfish, pink",132,,45,0,,0,,154,,137,,189,,172,,110,249,,222,109,"1,517"
"Rockfish, redbanded",0,,0,0,,0,,2,,1,,0,,0,,0,0,,0,0,3
"Rockfish, rosethorn",0,,0,0,,0,,0,,0,,0,,0,,0,0,,15,4,19
"Rockfish, rosy",0,,0,0,,0,,0,,1,,0,,0,,0,0,,0,0,1
"Rockfish, speckled",15,,4,0,,0,,7,,0,,7,,18,,29,82,,30,17,206
"Rockfish, splitnose",0,,0,0,,0,,0,,0,,0,,0,,0,26,,0,0,26
"Rockfish, squarespot",0,,16,0,,0,,11,,14,,28,,44,,0,0,,5,23,141
"Rockfish, starry",0,,5,0,,0,,36,,42,,26,,48,,0,0,,4,12,172
"Rockfish, treefish",8,,5,0,,0,,0,,2,,0,,0,,0,0,,0,0,15
"Rockfish, unspecified",0,,0,0,,0,,0,,0,,0,,33,,0,0,,0,0,33
"Rockfish, vermilion",451,,517,0,,0,,439,,"1,052",,535,,493,,444,"2,642",,786,719,"8,076"
Sablefish,"6,143",,"13,366","10,040",,"6,755",,"4,088",,"11,764",,"10,143",,"7,057",,"9,665","14,355",,935,"7,241","101,552"
Sanddab,110,,270,291,,217,,28,,281,,139,,465,,"1,847",375,,520,162,"4,704"
"Sardine, Pacific",0,,27,0,,0,,0,,97,,1,,0,,0,0,,0,0,125
Sargo,0,,0,0,,0,,0,,0,,3,,43,,1,0,,0,0,47
"Scorpionfish, California",3,,37,0,,0,,2,,36,,9,,6,,7,6,,8,9,122
"Seabass, white",44,,388,745,,65,,366,,"11,045",,"4,878",,865,,0,0,,20,61,"18,477"
"Shark, bigeye thresher",0,,0,0,,0,,0,,0,,0,,0,,0,270,,614,0,884
"Shark, horn",0,,0,0,,12,,0,,0,,0,,0,,0,0,,0,0,12
"Shark, leopard",197,,102,125,,76,,0,,0,,120,,56,,0,263,,0,387,"1,325"
"Shark, Pacific angel",43,,56,79,,"1,088",,118,,561,,311,,257,,64,0,,87,"1,227","3,891"
"Shark, pelagic thresher",79,,0,0,,0,,66,,0,,0,,0,,0,0,,0,86,231
"Shark, sevengill",0,,0,0,,147,,0,,0,,0,,0,,0,0,,0,0,147
"Shark, shortfin mako",112,,59,0,,15,,29,,771,,492,,"1,661",,841,"4,848",,"5,272",241,"14,340"
"Shark, smooth",0,,0,0,,0,,0,,0,,0,,0,,0,246,,0,0,246
hammerhead,,,,,,,,,,,,,,,,,,,,,
"Shark, soupfin",41,,35,30,,213,,84,,169,,60,,"1,218",,0,522,,334,190,"2,896"
Species,January,,February,March,,April,,May,,June,,July,,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,,
"Shark, spiny dogfish",0,,0,0,,0,,0,,16,,0,,0,,0,0,,0,0,16
"Shark, swell",96,,67,0,,8,,0,,0,,0,,0,,0,0,,0,0,171
"Shark, thresher","8,647",,662,230,,0,,"1,114",,728,,"1,027",,588,,0,651,,"1,793",173,"15,612"
"Sheephead, California","1,742",,"3,390",0,,0,,873,,"3,815",,"1,661",,"1,897",,"1,471","2,338",,"3,953","2,076","23,214"
"Skate, California",0,,0,0,,135,,0,,126,,2,,0,,0,0,,0,0,263
"Skate, longnose",0,,0,0,,10,,0,,0,,0,,0,,0,0,,0,0,10
"Skate, thornback",0,,0,0,,20,,0,,0,,0,,0,,0,0,,0,0,20
"Skate, unspecified",0,,19,42,,155,,36,,0,,0,,0,,0,0,,0,13,265
"Sole, fantail",0,,0,0,,0,,0,,0,,0,,15,,4,1,,0,0,20
"Sole, petrale",0,,0,0,,18,,0,,0,,12,,0,,0,0,,0,0,30
"Sole, rock",0,,1,3,,0,,2,,14,,4,,2,,0,0,,0,0,26
Stingray,0,,0,0,,60,,0,,0,,0,,0,,0,0,,0,0,60
"Surfperch, black",25,,0,0,,0,,0,,0,,0,,71,,24,111,,5,2,237
"Surfperch, rubberlip",0,,4,0,,0,,0,,0,,0,,0,,0,0,,0,0,4
"Surfperch, unspecified",0,,0,0,,0,,8,,0,,0,,0,,0,0,,0,0,8
Swordfish,"40,222",,311,0,,0,,168,,645,,"1,734",,"10,814",,"18,684","34,913",,"68,282","33,542","209,314"
"Thornyhead, longspine",198,,127,271,,256,,191,,189,,89,,82,,463,227,,365,350,"2,808"
"Thornyhead, shortspine","1,953",,"1,105","2,532",,"1,660",,697,,"1,309",,941,,"1,012",,"1,698","1,118",,"1,071","1,149","16,244"
Thornyheads,4,,0,0,,2,,0,,0,,5,,5,,1,0,,0,0,17
Triggerfish,0,,4,0,,0,,0,,143,,0,,70,,10,9,,0,0,236
"Tuna, albacore",0,,0,0,,0,,0,,0,,0,,0,,"2,602",0,,0,0,"2,602"
"Tuna, bigeye",0,,0,0,,673,,0,,0,,0,,0,,0,0,,0,0,673
"Tuna, bluefin","3,174",,501,85,,0,,566,,"6,407",,"18,673",,"21,384",,"10,394","4,790",,"15,602","6,910","88,484"
"Tuna, skipjack",0,,0,0,,0,,0,,0,,0,,0,,946,"1,410",,"1,238",0,"3,593"
"Tuna, yellowfin",0,,0,0,,0,,0,,57,,"2,134",,304,,"3,375","1,115",,"2,543",560,"10,087"
Turbot,0,,1,0,,0,,0,,0,,0,,0,,0,0,,0,0,1
"Whitefish, ocean",92,,120,0,,0,,21,,282,,145,,41,,150,202,,49,167,"1,269"
Yellowtail,"3,885",,"1,008",351,,371,,619,,"2,491",,"1,807",,"3,062",,861,824,,148,855,"16,282"
Species,January,,February,March,,April,,May,,June,,July,,August,,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
CRUSTACEANS,,,,,,,,,,,,,,,,,,,,
"Crab, armed box",0,,15,5,,26,,336,,22,,0,,0,,0,24,22,22,471
"Crab, box",379,,280,139,,295,,173,,337,,247,,123,,248,192,146,0,"2,557"
"Crab, brown rock",373,,389,732,,841,,567,,585,,394,,259,,246,335,236,507,"5,464"
"Crab, claws",0,,0,0,,0,,0,,0,,3,,57,,0,0,0,0,60
"Crab, king",0,,9,17,,51,,121,,141,,143,,89,,116,65,15,0,766
"Crab, red rock","1,214",,568,732,,886,,769,,514,,340,,200,,310,358,540,521,"6,953"
"Crab, rock unspecified","1,173",,"1,935","2,747",,"1,195",,"2,923",,"1,778",,"1,935",,"1,231",,"1,643","2,765","1,208","2,529","23,062"
"Crab, spider","4,072",,"3,872","2,874",,639,,"1,073",,567,,268,,788,,255,"4,180","3,147","3,367","25,101"
"Crab, yellow rock","13,433",,"14,666","22,086",,"22,007",,"19,406",,"17,523",,"17,221",,"11,933",,"11,145","7,494","8,998","8,323","174,233"
"Lobster, California spiny","22,103",,"8,077","5,554",,0,,0,,0,,0,,0,,0,"84,088","41,628","26,581","188,032"
"Prawn, spot",0,,"6,013","7,236",,"11,331",,"12,354",,"19,992",,"14,828",,"8,955",,"9,926","7,920",0,0,"98,555"
ECHINODERMS,,,,,,,,,,,,,,,,,,,,
Bat star,30,,0,21,,0,,0,,0,,0,,0,,0,0,0,0,51
"Sea cucumber, giant red",0,,0,0,,0,,0,,0,,151,,0,,0,0,0,0,151
"Sea cucumber, warty",852,,"3,182",0,,0,,0,,712,,"1,164",,"6,022",,"2,518",313,15,14,"14,791"
Sea stars,0,,0,0,,0,,0,,0,,0,,0,,0,0,4,0,4
"Sea urchin, purple",132,,42,97,,146,,91,,89,,161,,169,,179,120,121,62,"1,409"
"Sea urchin, red","7,136",,"3,982","13,628",,"10,843",,"4,740",,"7,873",,"2,940",,"20,792",,"7,548","9,096","11,388","7,039","107,005"
MOLLUSKS,,,,,,,,,,,,,,,,,,,,
"Clam, northern razor",0,,0,0,,0,,0,,0,,1,,0,,0,0,0,0,1
"Clam, rosy razor",0,,0,0,,0,,0,,0,,0,,4,,0,0,0,0,4
"Octopus, unspecified",32,,141,143,,317,,415,,179,,223,,62,,82,149,24,46,"1,813"
"Snail, tegula",0,,0,0,,0,,0,,0,,0,,0,,79,0,0,0,79
"Snail, top",40,,0,0,,0,,0,,0,,0,,77,,1,0,0,0,118
"Squid, market",0,,0,0,,0,,0,,0,,8,,0,,0,0,0,0,8
"Whelk, Kellet's","2,168",,"3,032","3,501",,0,,0,,0,,"5,057",,"2,853",,"2,240","4,226","4,556","4,580","32,213"
Water Area Total:,"126,533",,"77,625","90,811",,"74,986",,"76,921",,"124,407",,"111,999",,"120,325",,"98,583","201,742","194,227","120,839","1,418,999"
Species,January,February,March,April,May,,June,July,August,September,,October,November,December,Landings
Other Waters,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,
Dolphin (fish),358,"1,095","1,274",937,909,,307,332,,67,169,"2,044","3,674","1,806","12,972"
Escolar,"1,012","1,353",844,741,"1,709",,49,81,,227,166,745,472,200,"7,599"
"Fish, unspecified",0,0,0,0,101,,0,0,,0,0,0,0,0,101
Oilfish,0,0,194,0,0,,205,0,,0,0,0,0,259,658
Opah,"34,463","41,617","66,063","23,058","18,495",,"13,797","22,753","29,332",,"59,010","27,791","16,240","45,246","397,865"
Pomfret,"1,120","3,543","6,039",898,"1,423",,377,913,"1,703",,174,999,873,890,"18,952"
"Shark, shortfin mako",0,"1,129",71,0,80,,107,0,,0,56,881,0,69,"2,393"
Swordfish,58,135,0,296,"1,505",,"1,516","3,396","1,550",,333,"1,173",0,405,"10,367"
"Tuna, albacore",0,0,0,0,0,,0,0,,0,"12,423",973,0,0,"13,396"
"Tuna, bigeye","102,612","105,647","92,739","88,882","63,222",,"98,256","93,389","67,150",,"19,971","85,467","59,631","37,913","914,879"
"Tuna, bluefin",0,0,0,0,0,,0,563,,0,436,"2,732",0,0,"3,731"
"Tuna, skipjack",0,166,201,0,601,,90,0,,24,336,"1,163","1,714",483,"4,778"
"Tuna, yellowfin",218,0,394,808,606,,620,622,"2,101",,"1,045","1,534","4,408","2,347","14,703"
Wahoo,"1,349","1,202","1,298","1,853","4,813",,"1,535",523,,177,100,"1,397","1,259","3,463","18,969"
CRUSTACEANS,,,,,,,,,,,,,,,
"Lobster, California spiny",0,0,0,0,0,,0,0,,0,0,263,0,0,263
Water Area Total:,"141,190","155,887","169,117","117,473","93,464",,"116,859","122,572","102,331",,"94,219","127,162","88,271","93,081","1,421,626"
Waters North of State,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,
"Tuna, albacore",0,0,0,0,0,,0,0,,0,0,"6,943",0,0,"6,943"
Water Area Total:,0,0,0,0,0,,0,0,,0,0,"6,943",0,0,"6,943"
Waters South of State,,,,,,,,,,,,,,,
