"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
"Sheephead, California..........","5,465","3,912","4,506","2,710","6,216","3,405","2,709","1,763",947,"2,422",800,0,"34,853"
"Skate, unspecified................",71,52,19,0,0,0,0,0,0,0,0,0,142
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sole, petrale.........................",0,0,0,0,13,0,0,9,0,0,0,3,25
"Sole, sand............................",2,11,3,11,3,6,9,11,0,0,0,0,56
"Sole, unspecified..................",1,65,2,0,16,0,48,0,0,0,0,0,132
"Surfperch, black...................",248,88,31,93,0,165,40,146,126,219,19,0,"1,175"
Swordfish.............................,"24,041","40,452",0,"13,203","2,551","1,069","6,579","5,567","14,855","40,899","80,210","34,048","263,474"
"Thornyhead, longspine.........",0,865,"1,803",5,3,21,0,0,0,24,18,0,"2,739"
"Thornyhead, shortspine........",0,47,"1,677","3,811","3,035","3,292","2,655","1,280","1,259","3,729","3,434",531,"24,750"
Thornyheads........................,0,25,364,477,791,0,41,63,81,298,"1,173",445,"3,758"
"Tomcod, Pacific...................",0,0,0,0,0,0,107,0,0,0,0,0,107
"Tuna, albacore.....................","1,281",0,0,"3,469",0,"13,405","240,718","15,696","32,445","44,508","74,855","2,348","428,723"
"Tuna, bigeye........................",0,"1,335",0,"1,508",935,0,0,0,0,0,0,0,"3,778"
"Tuna, bluefin........................","1,618",549,0,0,0,232,"3,025","20,182","1,608",37,"3,905",144,"31,300"
"Tuna, skipjack......................",0,0,0,0,0,0,223,0,536,398,378,0,"1,535"
"Tuna, yellowfin.....................",289,0,0,"1,644",0,0,"1,013","29,133","1,848","2,674","2,742",139,"39,482"
"Whitefish, ocean..................",170,191,8,43,116,252,85,0,0,0,0,2,867
Yellowtail..............................,0,0,340,0,487,"1,708","6,720","4,304",453,600,122,2,"14,737"
Crustaceans,,,,,,,,,,,,,
"Crab, rock unspecified..........","24,195","20,035","30,163","25,030","25,630","18,179","18,993","21,806","9,316","6,847","13,956","14,724","228,873"
"Crab, sand...........................",0,0,0,0,0,680,0,0,0,0,0,0,680
"Crab, spider.........................",835,309,528,5,"2,364",144,0,0,0,0,121,42,"4,349"
"Lobster, California spiny.......","19,054","8,654","5,496",0,0,0,0,0,0,"132,379","41,590","23,183","230,356"
"Prawn, spot..........................",0,617,"1,254","1,488","9,118","6,359","4,313",936,"1,258","2,090",851,0,"28,284"
"Shrimp, ghost.......................",5,4,8,10,24,128,26,23,18,0,8,0,254
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, unspecified..",0,0,0,0,0,0,532,703,130,0,0,0,"1,365"
"Urchin, purple sea................",0,0,0,0,0,0,100,25,0,0,0,0,125
"Urchin, red...........................","52,767","56,927","87,379","57,477","74,002","67,067","43,787","70,609","58,762","90,551","59,420","69,775","788,523"
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified............",0,0,0,109,108,143,0,0,0,2,11,0,373
"Snail, sea.............................",0,0,0,0,80,0,53,0,0,0,0,0,132
"Snail, top..............................","1,710",566,866,619,261,786,"1,035",0,"1,322",159,671,453,"8,448"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Mollusks,,,,,,,,,,,,,
"Squid, market.......................","4,000","15,730","4,444",0,0,0,0,0,0,0,0,0,"24,174"
"Whelk, Kellet's.....................",36,153,51,137,52,59,0,30,0,273,480,142,"1,413"
Plants,,,,,,,,,,,,,
Kelp......................................,989,0,0,0,0,0,0,0,0,0,0,0,989
Waters Area Total:,"197,911","167,889","159,268","129,891","190,871","144,781","356,295","191,031","171,625","371,010","342,966","230,802","2,654,340"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Dolphin (fish)........................,0,0,0,"3,840","1,018",0,0,0,0,0,0,0,"4,858"
Escolar.................................,0,0,0,310,519,0,0,0,0,0,0,0,829
"Scorpionfish, California........",0,0,0,0,0,38,0,0,0,0,0,0,38
"Shark, pelagic thresher........",0,0,0,0,150,0,0,0,0,0,0,0,150
"Shark, shortfin mako............",0,507,0,0,134,0,0,0,0,0,0,0,641
"Shark, soupfin......................",0,0,0,0,183,0,0,0,0,0,0,0,183
"Shark, thresher.....................",0,0,0,0,"6,080",0,0,0,0,0,0,0,"6,080"
"Sheephead, California..........",0,0,151,0,0,620,0,0,45,0,0,0,816
Swordfish.............................,0,"24,999",0,"46,367","5,492",0,0,0,0,0,0,0,"76,858"
"Tuna, albacore.....................",990,"1,918",0,494,"1,992",0,0,0,"34,516",0,0,0,"39,910"
"Tuna, bigeye........................",0,"1,329",0,"3,214",171,0,0,0,0,0,0,0,"4,714"
"Tuna, bluefin........................",0,240,0,0,0,0,0,0,0,0,0,0,240
"Tuna, yellowfin.....................",0,0,0,0,568,0,0,0,0,0,0,0,568
Wahoo.................................,0,0,0,252,0,0,0,0,0,0,0,0,252
"Whitefish, ocean..................",0,0,0,0,0,265,0,0,0,0,0,0,265
Yellowtail..............................,0,0,0,"2,426",0,0,0,0,0,0,0,0,"2,426"
Crustaceans,,,,,,,,,,,,,
"Crab, rock unspecified..........",0,20,0,0,0,0,0,0,0,0,0,0,20
"Lobster, California spiny.......",613,72,86,0,0,0,0,0,0,"6,618","3,439","1,316","12,143"
"Prawn, spot..........................",0,0,"1,000","2,942","3,990","2,670","2,483","3,648","1,270",263,0,0,"18,267"
Echinoderms,,,,,,,,,,,,,
"Urchin, red...........................",0,0,0,0,0,0,0,0,0,0,0,325,325
Waters Area Total:,"1,604","29,085","1,236","59,845","20,297","3,593","2,483","3,648","35,831","6,881","3,439","1,641","169,583"
Waters South Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June July,,August September,,October,November December,,Landings
Waters South Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Dolphin (fish)........................,0,0,0,"1,900",0,0,0,0,0,0,0  0,,"1,900"
Escolar.................................,0,0,0,555,0,0,0,0,0,0,0  0,,555
Sablefish..............................,0,0,0,0,0,0,0,0,0,350,256  0,,606
Swordfish.............................,158,0,0,"21,368",108,0,0,0,0,0,0  0,,"21,634"
"Thornyhead, shortspine........",0,0,0,0,0,0,0,0,0,21,0  0,,21
Thornyheads........................,0,0,0,0,0,0,0,0,0,0,4  0,,4
"Tuna, bigeye........................",0,0,0,"2,058",11,0,0,0,0,0,0  0,,"2,069"
"Tuna, bluefin........................",498,0,0,0,0,0,0,0,0,0,0  0,,498
"Tuna, yellowfin.....................",0,0,0,"1,213",0,0,0,0,0,0,0  0,,"1,213"
Waters Area Total:,656,0,0,"27,094",119,0  0,,0,0,370,260  0,,"28,499"
Grand Total,"200,171","196,973","160,504","216,830","211,287","148,374  358,778",,"194,680","207,457","378,262","346,664  232,443",,"2,852,423"
"",,,,,,,,,,,"Total Records:  10,193",,
"",,,,,,*******************,,,,,,,
"",,,,,,End of Report,,,,,,,
