Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Tuna, yellowfin..................................",0,0,0,0,0,0,879,291,"3,193",662,"1,835",211,"7,070"
"Whitefish, ocean................................",0,0,6,4,20,59,524,563,90,12,0,0,"1,278"
Yellowtail...........................................,24,0,22,0,0,"2,021","4,793","7,583","1,938","1,578",43,442,"18,444"
Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,
"Crab, box..........................................",474,125,438,262,600  497,,800,0  0,,0,0,0,"3,196"
"Crab, king..........................................",22,10,56,0,12  18,,11,5  24,,0,22,2,183
"Crab, pelagic red...............................",0,0,20,0,0  0,,0,0  0,,0,0,0,20
"Crab, red rock...................................",0,0,66,0,0  0,,0,0  0,,0,0,0,66
"Crab, rock unspecified.......................","12,136","10,654","14,600","13,766","9,259  12,825",,"15,196","17,315  8,357",,"6,089","6,111","5,555","131,863"
"Crab, spider.......................................","1,684",414,705,432,29  308,,394,"1,211  558",,528,710,145,"7,117"
"Lobster, California spiny....................","18,704","9,967","4,563",0,0  0,,0,0  0,,"170,089","61,305","38,795","303,422"
"Prawn, spot.......................................",0,"3,559","8,512","7,690","7,028  8,549",,"5,928","8,372  5,388",,"2,313",0,0,"57,340"
"Shrimp, ghost....................................",123,257,"1,221",18,27  20,,32,12  4,,5,0,60,"1,779"
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, warty.........................",0,0,"1,263",0,"413  4,315",,"3,216",50  0,,0,0,0,"9,257"
Sea stars...........................................,0,0,0,0,0  11,,0,0  27,,0,0,0,38
"Sea urchin, purple.............................",0,85,0,79,"1,389  186",,0,70  72,,31,70,0,"1,982"
"Sea urchin, red..................................","78,046","38,978","99,202","70,917","83,381  79,661",,"61,999","95,233  79,681",,"58,709","72,144","60,787","878,738"
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified.........................",20,3,14,216,5  2,,0,0  0,,17,48,32,357
"Snail, sea..........................................",38,0,0,0,0  0,,0,0  0,,0,0,0,38
"Snail, top...........................................",63,373,379,0,201  628,,0,0  527,,0,0,0,"2,171"
"Squid, market....................................",0,"1,300","30,102",0,0  0,,0,0  0,,0,0,0,"31,402"
"Whelk, Kellet's...................................",70,0,0,0,2  3,,0,0  0,,92,40,25,232
Waters Area Total:,"168,546","86,755","196,115","109,406","138,264  197,197",,"153,403","188,599  166,368",,"295,348","279,251","270,309","2,249,562"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, albacore..................................",0,0,0,0,0  0,,0,0  0,,0,"76,289",0,"76,289"
Waters Area Total:,0,0,0,0,0  0,,0,0  0,,0,"76,289",0,"76,289"
Waters North Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, albacore..................................",0,0,0,0,0  0,,0,0  0,,"27,657",0,0,"27,657"
Waters Area Total:,0,0,0,0,0  0,,0,0  0,,"27,657",0,0,"27,657"
Grand Total:,"168,546","86,755","196,115","109,406","138,264  197,197",,"153,403","188,599  166,368",,"323,005","355,540","270,309","2,353,508"
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,,"9,529",,,
