Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
Fishes,,,,,,,,,,,,,,
"Shark, horn.....................................",0,0,0,0,0,5,0,15,0,0,0,0,,20
"Shark, leopard...............................",0,19,203,93,74,16,0,35,15,0,36,51,,543
"Shark, sevengill............................",0,0,0,0,0,0,0,0,0,157,0,0,,157
"Shark, shortfin mako....................","1,373",0,606,0,"1,243",961,233,"1,474",0,557,"2,388",534,,"9,369"
"Shark, soupfin...............................",24,98,169,84,26,25,169,50,0,42,176,93,,956
"Shark, spiny dogfish....................",0,0,0,0,0,0,35,118,41,29,0,0,,223
"Shark, swell....................................",0,0,0,0,0,8,0,62,64,7,0,45,,186
"Shark, thresher..............................","13,287",137,"6,577",174,"6,513","1,101",808,"1,058",0,162,"1,930","2,689",,"34,435"
"Shark, unspecified.......................",55,0,0,0,0,8,0,0,0,0,0,0,,63
"Sheephead, California.................","2,090","4,284",0,0,186,"3,529","1,193","2,992",393,699,"1,909","2,804",,"20,079"
"Skate, unspecified.......................",0,0,0,0,0,1,2,4,0,0,0,0,,7
"Sole, Dover.....................................",0,0,0,0,0,4,0,0,0,0,0,0,,4
"Sole, rock........................................",0,0,0,0,0,0,0,0,0,1,0,0,,1
"Sole, sand......................................",0,0,0,0,0,0,5,10,60,7,0,0,,82
"Sole, unspecified..........................",0,0,0,0,0,2,0,0,0,0,0,0,,2
Splittail............................................,0,0,0,0,0,622,0,0,0,0,0,0,,622
Stingray...........................................,0,0,0,0,0,0,126,30,0,0,0,0,,156
"Surfperch, black............................",0,76,0,0,0,0,3,0,0,2,0,4,,84
"Surfperch, rubberlip.....................",0,0,0,0,0,0,0,33,25,0,0,0,,58
"Surfperch, unspecified................",0,0,0,0,0,0,0,0,75,0,0,0,,75
Swordfish........................................,"31,519","2,206",74,0,"1,610","1,046","4,811","9,453","8,512","12,918","35,258","48,568",,"155,975"
"Thornyhead, longspine...............",370,430,384,413,330,425,303,338,229,192,177,372,,"3,961"
"Thornyhead, shortspine..............","1,316","1,561","1,768","1,991","2,066","2,832","3,171","2,603","2,487","2,941","3,698","2,645",,"29,078"
Thornyheads..................................,0,0,12,2,0,0,0,0,0,1,2,0,,17
Triggerfish......................................,0,0,0,0,0,3,0,3,0,0,0,0,,6
"Tuna, albacore..............................",0,0,0,0,0,0,0,0,"4,482",0,0,0,,"4,482"
"Tuna, bigeye..................................",619,0,0,0,0,0,0,0,0,0,0,0,,619
"Tuna, bluefin..................................",590,149,240,0,962,"3,398","17,634","14,477",0,0,0,0,,"37,449"
"Tuna, skipjack...............................",0,0,0,0,0,0,0,12,0,0,40,0,,52
"Tuna, yellowfin..............................",115,0,0,0,30,"2,657",350,38,351,165,828,"3,959",,"8,493"
"Turbot, hornyhead........................",0,0,0,0,0,0,0,10,0,0,0,0,,10
Turbot..............................................,0,0,0,0,0,15,0,0,0,0,0,0,,15
"Whitefish, ocean...........................","1,354",435,0,0,22,34,34,90,32,4,72,237,,"2,311"
"Whiting, Pacific.............................",0,0,0,0,0,0,6,0,4,0,0,0,,10
Yellowtail........................................,518,810,491,488,565,"3,233","1,964","3,898","1,459",390,519,195,,"14,529"
Crustaceans,,,,,,,,,,,,,,
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,,
"Crab, armed box............................",0,0,0,0,0,0,33,222,103,0,0,0,,358
"Crab, box.........................................","1,023",239,"1,944",502,803,362,511,235,314,283,194,630,,"7,040"
"Crab, brown rock...........................",278,480,739,961,94,914,971,589,956,522,397,497,,"7,399"
"Crab, king........................................",0,0,50,41,87,40,66,94,62,37,3,0,,480
"Crab, red rock................................",144,589,532,118,297,723,"1,096",639,607,429,"1,786",569,,"7,528"
"Crab, rock unspecified................",666,380,477,0,0,30,"2,766","4,669","1,353",502,"1,392","1,430",,"13,663"
"Crab, southern kelp......................",0,0,0,0,0,0,0,0,0,3,0,0,,3
"Crab, spider....................................",905,"1,243","1,644","1,459",0,664,637,713,494,"3,601","3,298","4,438",,"19,096"
"Crab, spider/sheep claws..........",0,0,0,0,0,0,0,0,0,128,0,0,,128
"Crab, yellow rock..........................","2,229","2,285","5,304","3,115","1,173","4,532","7,630","11,210","13,984","7,571","7,508","13,564",,"80,105"
"Lobster, California spiny.............","15,185","8,702","5,814",0,0,0,0,0,0,"94,776","41,274","34,706",,"200,457"
"Prawn, spot....................................",0,"3,578","6,119","5,846","10,905","8,586","14,282","14,708","10,134","8,781",0,0,,"82,938"
"Shrimp, ghost.................................",2,0,0,0,0,0,0,0,0,0,0,0,,2
Echinoderms,,,,,,,,,,,,,,
Bat star............................................,0,0,0,0,0,0,15,0,15,0,0,0,,30
"Sea cucumber, giant red............",0,0,0,0,0,0,166,0,0,0,0,0,,166
"Sea cucumber, warty...................",0,74,139,939,278,"1,006","1,948","3,974",974,0,281,632,,"10,244"
"Sea urchin, purple........................",117,143,70,46,164,101,153,206,206,99,"4,076",99,,"5,480"
"Sea urchin, red..............................","11,651","7,514","13,687","12,016","2,565","12,448","4,984","6,638","4,088","2,913","3,653","4,298",,"86,455"
Mollusks,,,,,,,,,,,,,,
"Limpet, keyhole.............................",0,0,0,0,0,0,0,0,2,0,0,0,,2
"Octopus, unspecified..................",11,0,58,218,4,75,176,131,79,102,37,53,,944
"Snail, top.........................................",2,0,0,0,0,0,0,130,14,0,0,0,,146
"Squid, market.................................",0,0,0,0,0,130,0,0,0,0,5,170,,305
"Whelk, Kellet's...............................","1,331","1,412","3,392",0,0,0,"7,204","5,619","3,920","3,804","2,366","3,287",,"32,334"
Waters Area Total:,"102,618","57,210","78,363","43,313","77,037","99,594","101,980","104,105","70,500","169,182","141,440","141,725",,"1,187,067"
Other Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Dolphin (fish).................................,307,961,"1,582",501,354,111,129,327,473,"1,443","2,563","2,637",,"11,388"
Escolar............................................,647,926,"1,347","1,249","1,005",460,232,"1,010",884,"1,610","1,393","2,300",,"13,063"
"Fish, unspecified..........................","1,212","2,436","2,231","1,967",833,678,587,0,120,0,0,274,,"10,338"
Hagfishes.......................................,0,0,0,0,0,0,0,0,0,0,"3,333",0,,"3,333"
Jacksmelt........................................,0,0,0,0,0,0,0,0,0,557,0,0,,557
"Mackerel, unspecified.................",0,0,0,0,0,69,0,0,0,0,0,0,,69
Oilfish..............................................,0,0,0,0,0,0,0,96,0,0,0,0,,96
Opah................................................,"28,877","29,465","29,988","28,886","13,052","4,443","4,819","26,737","18,740","22,295","19,660","40,884",,"267,845"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
ther Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Pomfret............................................,0,0,0,102,0,0,0,"2,629",903,"1,229",943,"2,399","8,205"
"Shark, shortfin mako....................",0,421,724,0,469,0,668,625,0,0,0,408,"3,315"
"Shark, thresher..............................",0,0,0,0,0,0,209,0,0,0,0,0,209
Swordfish........................................,152,40,379,303,"2,083",674,686,"1,210",79,93,0,162,"5,861"
"Tuna, bigeye..................................","51,749","63,612","70,007","75,307","72,586","27,428","17,313","69,542","32,711","46,681","44,798","91,225","662,959"
"Tuna, skipjack...............................",780,520,281,"1,122",501,513,50,183,470,"1,224","1,839",483,"7,966"
"Tuna, yellowfin..............................",0,300,478,"13,406","8,020","1,564",839,"2,836","4,700","4,624","3,312",0,"40,079"
Wahoo.............................................,780,940,"1,469","1,931","2,807",720,203,502,790,708,986,"2,718","14,554"
Crustaceans,,,,,,,,,,,,,
"Crab, box.........................................",0,0,0,0,0,43,0,0,0,0,0,0,43
"Crab, brown rock...........................",0,0,0,0,0,3,0,0,0,0,0,0,3
"Crab, king........................................",0,0,0,0,0,5,0,0,0,0,0,0,5
"Crab, red rock................................",0,0,0,0,0,79,0,0,0,0,0,0,79
"Crab, yellow rock..........................",0,0,0,0,0,2,0,0,0,0,0,0,2
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified..................",0,0,0,0,0,42,0,0,0,0,0,0,42
Waters Area Total:,"84,504","99,621","108,486","124,774","101,710","36,833","25,735","105,697","59,870","80,464","78,827","143,490","1,050,010"
aters South Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Bonito, Pacific...............................",0,10,0,0,0,0,0,0,0,0,0,0,10
Dolphin (fish).................................,0,0,0,0,0,0,0,0,180,0,0,0,180
Lingcod............................................,0,6,0,0,0,0,0,0,0,0,0,0,6
Opah................................................,0,0,0,0,0,0,0,0,"3,857",0,0,0,"3,857"
Pomfret............................................,0,0,0,0,0,0,0,0,328,0,0,0,328
"Scorpionfish, California...............",0,5,0,0,0,0,0,0,0,0,0,0,5
"Tuna, bigeye..................................",0,0,0,0,0,0,0,0,"2,460",0,0,0,"2,460"
"Tuna, skipjack...............................",0,0,0,0,0,0,0,0,"1,727",0,0,0,"1,727"
"Tuna, yellowfin..............................",0,0,0,0,0,0,0,0,509,0,0,0,509
Wahoo.............................................,0,0,0,0,0,0,0,0,521,0,0,0,521
Yellowtail........................................,0,0,0,0,71,0,0,0,0,0,0,0,71
Waters Area Total:,0,21,0,0,71,0,0,0,"9,582",0,0,0,"9,674"
Grand Total:,"187,122","156,852","186,849","168,087","178,818","136,427","127,715","209,802","139,951","249,646","220,267","285,215","2,246,751"
"",,,,,,,,,Total Records:,"7,880",,,
Species,January,February,March,April,May June,,July,August,September,October,November,December,Landings
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,,,,,,
