Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
"Skate, unspecified......................",0,0,0,,0,,0,,0,,0,,0,62,0,0,0,62
"Sole, unspecified........................",0,0,0,,0,,5,,0,,0,,0,0,0,0,0,5
"Surfperch, unspecified...............",0,0,0,,0,,0,,0,,0,,0,1,0,0,0,1
Swordfish...................................,"119,806",67,170,,0,,0,,"1,556",,"9,301",,"18,129","9,328","40,614","78,276","121,100","398,347"
"Thornyhead, longspine...............",79,54,553,,811,,628,,481,,853,,312,39,112,273,131,"4,326"
"Thornyhead, shortspine.............","1,284","2,776","7,780",,"9,871",,"9,480",,"5,538",,"10,164",,"9,931","3,596","9,743","6,103","7,424","83,690"
Thornyheads..............................,0,0,0,,6,,6,,0,,0,,0,0,0,0,0,12
"Tuna, albacore...........................",20,0,0,,0,,0,,479,,"2,013",,"1,349",112,"4,109",275,110,"8,467"
"Tuna, bluefin..............................",160,0,0,,0,,0,,0,,0,,0,0,63,290,260,773
"Tuna, yellowfin...........................",0,0,0,,0,,0,,0,,0,,380,138,48,0,15,581
Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,
"Whitefish, ocean........................",97,114,0,,0,,184,,42,,0,,33,0,0,,0,3,472
Yellowtail....................................,800,47,12,,0,,44,,"1,384",,"2,106",,"2,801","3,752","1,753",,166,673,"13,537"
Crustaceans,,,,,,,,,,,,,,,,,,,
"Crab, box...................................",80,0,0,,0,,0,,160,,0,,0,0,0,,0,0,240
"Crab, brown rock........................",0,0,0,,0,,0,,0,,0,,0,0,0,,21,10,31
"Crab, king..................................",15,0,0,,0,,0,,0,,0,,0,0,0,,0,0,15
"Crab, red rock............................",0,0,0,,0,,0,,0,,0,,0,0,0,,0,4,4
"Crab, rock unspecified...............","5,685","3,157","3,187",,"7,248",,"11,868",,"14,102",,"5,270",,"5,216","3,649","1,655",,"3,854","9,362","74,253"
"Crab, spider...............................","4,984","1,298","1,611",,186,,"1,488",,"1,069",,"1,201",,"1,027",809,"1,104",,"1,951","1,659","18,387"
"Crab, yellow rock.......................",0,0,0,,0,,0,,0,,0,,0,0,0,,55,82,137
"Lobster, California spiny.............","15,428","6,912","7,050",,0,,0,,0,,0,,0,0,"114,741",,"45,265","22,994","212,390"
"Prawn, spot................................",0,"3,968","8,725",,"7,208",,"7,979",,"5,944",,"7,396",,"5,483","3,571","2,452",,0,0,"52,726"
"Shrimp, ghost.............................",2,0,0,,0,,0,,0,,0,,9,7,7,,11,8,42
Echinoderms,,,,,,,,,,,,,,,,,,,
"Sea cucumber, giant red............",0,0,0,,0,,0,,0,,0,,0,0,0,,60,0,60
"Sea cucumber, unspecified........",0,0,0,,0,,0,,192,,0,,0,0,0,,0,0,192
"Sea cucumber, warty.................",0,0,0,,0,,31,,168,,710,,"4,328","1,310",0,,0,0,"6,547"
Sea stars...................................,0,0,35,,8,,10,,0,,0,,10,0,0,,10,0,73
"Sea urchin, purple......................",67,55,134,,144,,114,,534,,48,,40,0,80,,71,0,"1,287"
"Sea urchin, red...........................","64,262","45,101","80,880",,"48,932",,"91,978",,"44,180",,"42,784",,"33,886","30,083","24,545",,"57,608","71,914","636,153"
Mollusks,,,,,,,,,,,,,,,,,,,
"Chiton, unspecified....................",0,0,0,,0,,0,,2,,0,,0,0,0,,0,0,2
"Limpet, keyhole..........................",0,0,0,,0,,0,,0,,0,,0,31,0,,0,0,31
Mussel.......................................,800,0,0,,0,,0,,0,,0,,0,0,0,,0,0,800
"Octopus, unspecified.................",1,32,442,,415,,41,,0,,70,,349,1,7,,1,2,"1,360"
"Snail, top....................................",0,0,0,,0,,52,,0,,0,,0,0,0,,76,45,173
"Squid, jumbo..............................",0,0,365,,0,,787,,3,,40,,0,0,0,,0,0,"1,195"
"Squid, market.............................",0,0,14,,0,,15,,0,,0,,0,0,0,,0,0,29
"Whelk, Kellet's...........................","3,707","3,072","6,769",,"3,892",,"5,506",,"4,440",,"6,124",,"3,799","2,322","1,605",,"1,830","3,256","46,322"
Waters Area Total:,"272,222","76,311","151,419",,"87,836",,"165,826",,"117,037",,"112,651",,"106,776","87,981","269,739",,"241,476","283,058","1,972,333"
Waters South Of State,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,
"Tuna, albacore...........................",0,0,0,,0,,0,,164,,115,,0,0,0,,0,0,279
Waters Area Total:,0,0,0,,0,,0,,164,,115,,0,0,0,,0,0,279
Grand Total:,"272,222","76,311","151,419",,"87,836",,"165,826",,"117,201",,"112,766",,"106,776","87,981","269,739",,"241,476","283,058","1,972,612"
Species,January,February,March,April,May June,,July,August September,October,,November,December,Landings
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,"8,647",,,,
