Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
"Rockfish, chilipepper................","2,983","1,033","52,819","76,884","158,008","75,145","98,564","47,785","108,879","87,242","1,497",415,"711,253"
"Rockfish, copper.......................","1,655",498,0,17,979,"1,083",955,"1,041",998,"1,780","1,898","3,565","14,469"
"Rockfish, cowcod......................",0,9,18,2,44,19,59,54,63,147,2,0,417
"Rockfish, darkblotched............","1,186",207,900,683,354,479,286,"1,237",466,675,"1,086","1,688","9,247"
"Rockfish, flag.............................",45,89,0,0,26,20,73,99,66,49,51,56,575
"Rockfish, gopher.......................","5,307","2,499",0,2,"4,412","5,125","6,887","3,977","2,688","6,147","7,885","6,083","51,012"
"Rockfish, grass ..........................","1,019",778,0,0,"1,423","2,496","5,145","4,110","4,253","4,198","3,048","1,160","27,630"
"Rockfish, greenblotched.........",12,46,0,0,4,2,0,0,0,0,71,0,135
"Rockfish, greenspotted...........",362,359,26,0,215,270,745,441,442,413,223,267,"3,764"
"Rockfish, greens triped.............",3,11,0,0,4,3,3,16,16,22,16,6,101
"Rockfish, group bolina.............",6,0,0,0,0,0,0,28,12,0,7,0,53
"Rockfish, group canary /vermi",3,0,0,0,0,0,0,0,0,0,0,0,3
"Rockfish, group nearshore.....",0,0,0,0,0,4,0,0,0,5,9,0,18
"Rockfish, group red..................",710,573,260,72,440,274,443,257,259,468,283,160,"4,200"
"Rockfish, group rosefish.........",0,0,0,0,0,25,0,0,0,0,0,0,25
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
Fishes,,,,,,,,,,,,,
"Rockfish, group shelf...............","1,628",253,13,144,814,514,505,416,301,643,281,317,"5,830"
"Rockfish, group s lope..............","3,025",661,"17,570","4,514","2,498",183,"1,712","5,308","5,209","2,342","3,042","1,224","47,288"
"Rockfish, group small...............",0,0,0,38,0,0,50,0,0,0,0,0,88
"Rockfish, honeycomb...............",0,0,0,0,11,1,1,14,14,4,4,8,57
"Rockfish, kelp.............................",152,96,0,0,57,165,144,144,283,434,344,264,"2,082"
"Rockfish, oliv e...........................",277,250,5,0,152,207,230,545,412,387,326,160,"2,952"
"Rockfish, pink.............................",0,1,0,0,0,0,0,0,0,0,0,0,1
"Rockfish, pinkrose....................",0,0,0,0,0,0,0,22,36,4,34,7,102
"Rockfish, quillback....................",29,5,18,37,73,62,591,233,113,142,123,51,"1,477"
"Rockfish, redbanded................",0,10,6,44,55,2,56,16,80,52,0,0,321
"Rockfish, rosethorn..................",0,3,0,0,0,0,7,7,27,7,14,9,75
"Rockfish, rosy ............................",1,3,4,0,103,13,77,88,71,91,48,53,550
"Rockfish, shortbelly ..................",0,0,0,0,0,0,0,1,22,38,0,0,61
"Rockfish, speckled...................",42,16,0,0,9,40,13,60,12,60,186,64,501
"Rockfish, splitnose...................","1,669","1,952","7,540","4,413",727,"1,036","2,669","1,527","1,209","4,797","3,203","1,028","31,770"
"Rockfish, squarespot...............",11,0,15,0,16,12,20,32,0,14,5,0,125
"Rockfish, s tarry .........................",46,138,0,0,167,219,187,61,268,162,137,187,"1,572"
"Rockfish, s tripetail....................",0,0,0,0,0,0,0,0,0,8,0,0,8
"Rockfish, treefish......................",389,226,0,0,174,196,381,207,128,248,419,321,"2,687"
"Rockfish, unspecified..............",0,0,11,0,100,41,0,69,309,35,0,55,620
"Rockfish, v ermilion....................","5,465","3,171",47,154,"2,276","4,594","4,889","6,613","6,871","4,816","6,151","6,183","51,230"
"Rockfish, widow.........................",482,14,644,628,"5,033",91,92,76,"1,338","3,858",229,139,"12,622"
"Rockfish, y elloweye.................",0,0,0,0,7,0,5,0,0,12,0,0,24
"Rockfish, y ellowtail...................",127,136,161,28,737,"1,270",781,"1,799","1,592","3,136",660,"1,046","11,472"
Sablefish.....................................,"150,177","152,516","317,514","287,689","239,158","197,933","200,693","291,556","369,488","416,836","233,190","220,216","3,076,968"
"Salmon, Chinook........................",5,0,0,0,"894,390","983,450","1,410,583","341,384","130,727","19,231",0,0,"3,779,770"
"Salmon, Roe (Chinook, Coho).",0,0,0,0,2,10,37,219,218,151,0,0,637
"Sanddab, Pacific.......................",0,170,0,0,49,52,120,118,0,"3,376",1,0,"3,885"
"Sanddab, longfin.......................",0,0,0,0,0,1,8,3,0,0,0,0,11
Sanddab......................................,839,"1,139","20,994","12,896","21,641","33,247","36,540","44,248","25,462","19,505","1,077","1,893","219,480"
"Sardine, Pacific.........................","280,082","1,280","55,873","1,545,331","3,474,636","543,295","367,439","1,648,995","2,560,161","3,113,181","1,865,492","138,710","15,594,475"
Sargo............................................,140,0,0,0,6,34,0,9,0,0,0,0,189
"Scorpionfish, California...........",259,337,93,0,"1,048","1,824","1,171",811,104,221,9,67,"5,943"
"Sculpin, s taghorn......................",139,82,124,128,79,56,196,333,779,934,727,299,"3,876"
"Seabass, white..........................","34,731","6,982","6,894",364,"2,008","85,249","79,134","22,765","6,119","5,893","1,095","1,172","252,407"
"Seaperch, s triped......................",486,994,"1,026",628,0,0,0,0,0,53,"1,271","1,432","5,890"
"Shad, American..........................",0,0,0,0,0,0,10,0,55,0,0,"1,310","1,375"
"Shad, threadfin..........................",0,0,0,612,"1,475",563,745,"1,550","1,975","4,435","4,525",180,"16,060"
"Shark, Pacific angel.................","1,318","1,529",662,"1,261","2,642",845,343,526,908,380,489,756,"11,658"
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
Fishes,,,,,,,,,,,,,
"Shark, bigeye thresher............",0,0,0,0,0,0,41,0,0,64,575,68,748
"Shark, blue..................................",0,0,22,0,0,0,10,0,0,0,0,0,32
"Shark, brown smoothhound....",42,11,0,13,0,25,24,61,71,0,0,0,247
"Shark, gray  smoothhound.......",7,0,0,0,0,1,0,0,0,0,0,20,28
"Shark, horn..................................",0,47,0,0,0,0,0,0,0,20,53,12,132
"Shark, leopard............................",304,424,608,174,179,40,173,21,66,73,125,169,"2,356"
"Shark, pelagic thresher...........",0,0,0,0,0,75,0,0,0,0,0,"7,604","7,679"
"Shark, salmon.............................",765,0,0,0,0,0,0,0,0,0,0,0,765
"Shark, sevengill.........................",0,108,0,0,45,61,54,0,0,49,82,0,399
"Shark, shortfin mako.................","2,281","1,409","1,409",215,940,"5,998","6,421","1,867","1,131","7,673","9,860","7,095","46,298"
"Shark, s ixgill...............................",0,0,9,0,0,0,0,0,0,0,0,0,9
"Shark, soupfin............................",296,89,0,111,239,142,522,133,56,473,480,129,"2,669"
"Shark, spiny  dogfish................",143,323,0,0,758,18,18,683,0,12,31,112,"2,098"
"Shark, swell................................",24,5,0,0,0,0,0,0,0,0,0,0,29
"Shark, thresher..........................","24,899","1,263",386,197,"8,188","7,613","3,479","3,354","1,084","1,575","19,935","19,543","91,515"
"Shark, unspecified....................",374,48,65,26,369,21,69,0,64,396,228,559,"2,220"
"Sharks , cow................................",0,0,0,0,0,0,0,0,0,0,0,150,150
"Sheephead, California..............","5,525","4,929",32,0,"9,976","8,059","9,245","6,959","2,422","4,845","4,791","5,226","62,009"
"Skate, California........................",13,0,0,0,0,0,0,0,0,0,0,0,13
"Skate, big....................................",0,0,46,712,"4,584","7,826","16,807","5,035","3,882","6,383",78,0,"45,353"
"Skate, longnose.........................","9,163","10,401","28,581","22,980","27,244","17,498","24,857","53,651","34,432","50,268","44,874","9,643","333,591"
"Skate, thornback.......................",0,0,0,0,0,0,0,0,0,0,10,0,10
"Skate, unspecified....................","1,518","1,789","3,371","4,539","5,105","1,823","1,990","2,242","2,557","4,247",871,"1,261","31,313"
"Smelt, night.................................",369,"14,347","59,062","59,467","83,372","37,252","36,670","23,470",349,0,0,0,"314,358"
"Smelt, surf...................................",0,64,5,461,"5,503","28,058","19,583","2,913",801,0,0,0,"57,388"
"Sole, Dover.................................","167,030","263,826","473,339","500,147","546,946","289,534","427,061","729,379","326,912","483,606","396,152","288,248","4,892,178"
"Sole, English...............................","3,246","2,702","12,948","6,152","6,458","10,238","21,716","15,039","14,957","13,061",822,550,"107,889"
"Sole, butter.................................",0,0,0,0,0,0,0,0,0,88,2,0,90
"Sole, petrale...............................","74,816","35,745","60,457","49,283","79,265","66,047","94,698","55,893","81,582","126,732","131,202","183,937","1,039,658"
"Sole, rex.......................................","9,924","7,256","14,914","8,275","6,116","2,193","5,129","11,168","8,522","11,232","7,729","7,482","99,940"
"Sole, rock....................................",66,218,757,40,962,"1,212",492,"1,199",771,"2,276",380,101,"8,474"
"Sole, sand...................................","5,299","2,176","4,176","2,433","3,096","5,407","7,775","1,886",522,748,6,197,"33,721"
"Sole, unspecified......................","6,634","3,740","5,195","3,486","4,249",612,738,"1,050","1,314","3,497","2,670","4,284","37,469"
Splittail.........................................,0,0,0,0,90,0,0,"2,148",0,0,28,0,"2,266"
Stingray .......................................,121,0,0,0,0,4,0,15,703,60,129,0,"1,032"
"Surfperch, barred......................","1,206",744,635,114,0,3,0,"1,081",627,735,963,746,"6,853"
"Surfperch, black........................",18,82,32,20,3,0,0,0,42,55,7,104,362
"Surfperch, calico.......................",88,73,10,304,0,0,0,0,0,0,0,0,475
"Surfperch, pile............................",0,0,13,27,0,2,1,1,0,23,16,11,95
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
Fishes,,,,,,,,,,,,,
"Surfperch, rainbow....................",915,1,338,0,0,2,2,6,14,0,2,41,"1,320"
