"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, northern..........................",,"2,997,402","1,465,457","1,859,059","2,635,906","1,588,518","2,284,707","1,078,721","817,642","540,022","649,284","7,544,530","2,450,507","25,911,754"
"Barracuda, California......................",,47,88,105,"3,004","57,772","65,787","44,203","3,386","1,910",199,424,126,"177,051"
"Bass, barred sand..........................",,0,0,2,0,0,0,0,0,0,0,0,0,2
"Bass, giant sea..............................",,137,222,209,150,376,984,758,528,296,326,108,144,"4,238"
Blacksmith.....................................,,30,0,55,0,0,14,4,3,0,98,25,17,246
"Bonito, Pacific................................",,"13,962",63,0,0,985,"10,913","1,897",88,960,687,9,"66,629","96,192"
Butterfish (Pacific pompano)......,,7,2,104,172,197,159,98,39,"2,871","1,308",516,172,"5,644"
Cabezon.........................................,,"7,484","3,059","6,225","14,412","22,407","37,608","37,332","40,411","32,404","20,122","15,568","18,890","255,920"
"Cabrilla, spotted.............................",,0,0,0,44,0,0,0,0,0,0,0,0,44
Carp...............................................,,0,0,0,0,0,0,0,0,26,66,410,"1,400","1,902"
"Cod, Pacific....................................",,0,0,0,0,0,0,0,3,0,9,9,0,21
"Corvina, shortfin.............................",,0,0,0,0,0,12,0,0,0,0,0,0,12
"Croaker, unspecifed.......................",,0,0,0,0,0,119,18,0,0,0,0,0,137
"Croaker, white................................",,"32,214","13,516","33,708","24,321","15,381","8,956","6,971","4,450","5,449","11,996","10,679","25,124","192,764"
Dolphin (fish).............................,,0,0,101,0,897,"1,519",657,"2,403","1,663","62,433","10,659",320,"80,652"
"Eel, California moray......................",,0,180,0,295,838,216,0,164,0,0,129,179,"2,001"
"Eel, monkeyface (prickleback)...",,19,13,45,6,33,32,57,4,12,5,10,12,246
Escolar...........................................,,"1,370",138,65,0,338,241,0,375,"3,171","1,300","2,121","2,442","11,561"
"Fish, unspecified............................",,122,5,5,691,"2,339","11,935",35,26,0,0,0,0,"15,158"
"Flounder, arrowtooth......................",,"3,660","4,208","2,208","5,651","9,213","6,071","15,461","5,650","3,614","2,121","1,122",684,"59,663"
"Flounder, starry..............................",,"2,598","8,621","4,042","5,172","1,711","5,010","4,947","3,111","2,382","4,746","3,839","1,298","47,477"
"Flounder, unspecified.....................",,"1,918",395,"1,198","1,289",287,"2,303","1,892","2,769",950,"2,292",218,912,"16,423"
Flyingfish........................................,,0,0,0,0,0,0,0,5,0,0,0,0,5
"Goby, yellowfin...............................",,0,3,0,0,0,0,0,0,34,124,34,34,229
"Goby, zebra...................................",,0,0,0,0,0,0,63,0,0,0,0,0,63
"Greenling, kelp...............................",,"1,889",771,"1,145","3,096","4,037","6,217","7,690","9,972","7,775","4,035","2,335","2,108","51,070"
Grenadier.......................................,,"24,463","6,684","31,634","51,124","52,885","65,942","74,650","56,898","71,065","25,521","20,977","14,436","496,280"
"Grouper, broomtail.........................",,0,0,0,0,0,0,0,3,0,0,0,0,3
"Grunion, California.........................",,0,0,0,0,0,0,0,0,0,0,73,0,73
"Guitarfish, shovelnose....................",,"1,644","2,194","2,553","2,348","1,713",772,544,687,"1,182","3,641","1,747","1,407","20,432"
Hagfishes.......................................,,0,0,0,0,0,0,0,0,0,22,0,47,69
Halfmoon........................................,,17,70,378,271,88,189,24,55,314,11,9,39,"1,464"
"Halibut, California...........................",,"62,394","134,018","100,994","89,146","38,986","113,069","111,998","58,474","25,112","29,196","31,408","52,726","847,521"
"Halibut, Pacific...............................",,0,0,0,0,0,0,289,0,0,0,0,0,289
"Halibut, unspecified........................",,"6,218",32,195,276,334,313,506,0,0,0,230,12,"8,115"
"Herring, Pacific - roe on kelp..........",,"137,257","48,269","3,331",218,0,0,0,0,0,0,"1,065",667,"190,807"
"Herring, Pacific - roe......................",,"4,650,329","1,287,375","401,217",327,0,0,78,0,0,0,"35,501","1,230,155","7,604,982"
"Herring, Pacific...............................",,0,13,0,0,0,"9,295","47,110",0,0,0,0,0,"56,418"
"Herring, round................................",,0,0,"56,430","37,109",0,0,0,0,0,0,0,0,"93,539"
Jacksmelt.......................................,,41,0,192,"2,171","1,160","1,078","1,335","3,182","4,016","1,466",798,564,"16,003"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
Kelpfishes......................................,,0,0,0,0,0,0,0,190,0,0,0,0,190
Lingcod..........................................,,243,0,182,38,"16,945","24,938","37,242","13,978","15,778","12,478",661,21,"122,503"
"Lizardfish, California.......................",,59,47,102,107,568,5,144,1,16,1,32,7,"1,089"
Louvar............................................,,401,0,0,0,0,188,0,408,"2,063","1,963",269,61,"5,352"
"Mackerel, Pacific............................",,"203,628","496,976","936,185","328,597","281,415","4,736,932","13,807,142","11,465,297","12,219,728","3,427,223","130,981","282,695","48,316,798"
"Mackerel, bullet..............................",,471,0,0,0,0,0,0,0,0,0,0,0,471
"Mackerel, jack................................",,"77,680","212,069","240,916","205,809","233,125","1,254,405","121,094","27,866","14,072","124,669","102,853","183,954","2,798,511"
"Mackerel, unspecified....................",,0,0,0,0,0,8,0,0,0,0,473,0,481
"Midshipman, plainfin......................",,30,0,5,0,0,0,0,0,0,0,0,25,60
"Mudsucker, longjaw.......................",,0,0,0,0,0,0,0,0,0,0,5,0,5
"Mullet, striped.................................",,0,142,0,0,19,0,0,0,0,0,0,0,161
Oilfish.............................................,,0,0,0,0,0,0,55,0,543,577,"1,159",620,"2,954"
Opah..............................................,,"38,057",120,95,0,"2,207","2,080",521,"6,263","16,463","18,981","13,686","28,750","127,223"
Opaleye..........................................,,"1,214","2,239","2,254",260,528,128,516,93,100,46,1,2,"7,381"
Queenfish.......................................,,30,0,0,0,71,0,390,3,122,0,0,255,871
"Ratfish, spotted..............................",,0,181,0,0,0,0,0,0,0,0,0,0,181
"Ray, Pacific electric........................",,15,106,10,0,31,0,10,270,60,120,0,45,667
"Ray, bat.........................................",,0,0,0,0,220,297,315,162,289,0,0,29,"1,312"
"Ray, unspecified.............................",,0,0,0,245,0,8,0,0,0,112,515,250,"1,130"
"Rockfish, China..............................",,574,145,318,435,927,"1,345","2,058","2,067","1,967","1,177",766,568,"12,350"
"Rockfish, Pacific ocean perch........",,124,18,92,"1,004","1,104",514,"2,994",0,"1,288",22,0,0,"7,160"
"Rockfish, aurora.............................",,70,0,925,122,101,41,54,37,75,18,0,81,"1,524"
"Rockfish, bank...............................",,"9,712","2,756",735,"4,012","5,182","22,274","3,726","18,694","16,667","41,455","32,339","22,874","180,425"
"Rockfish, black-and-yellow.............",,"1,413",373,713,"1,161","2,581","5,238","5,331","6,227","3,888","1,844","1,547","1,680","31,997"
"Rockfish, black...............................",,"3,146","1,348","2,032","3,517","7,247","9,961","15,923","17,300","22,645","12,988","11,314","3,182","110,603"
"Rockfish, blackgill..........................",,"5,717","3,350","6,670","9,614","4,368","7,412","8,216","14,956","7,940","7,392","13,647","9,812","99,094"
"Rockfish, blue................................",,183,410,136,288,761,721,"1,790","2,167","3,524","2,859","1,625","3,314","17,777"
"Rockfish, bocaccio.........................",,"1,893",477,"2,055","4,770","6,083","8,803","4,735","4,463","6,309","6,449","4,386","4,211","54,632"
"Rockfish, bronzespotted.................",,0,0,0,12,0,0,37,0,0,12,0,0,61
"Rockfish, brown..............................",,235,173,872,"2,411","1,348","2,463","3,343","3,293","2,523","2,627","3,276","6,514","29,078"
"Rockfish, canary............................",,430,445,439,"3,064","2,142","4,139","6,591","5,401","6,012","3,665","1,899","1,237","35,463"
"Rockfish, chilipepper......................",,"44,580","18,952","83,441","111,186","60,609","116,281","52,015","103,845","112,044","79,637","104,321","91,304","978,216"
"Rockfish, copper............................",,796,184,763,591,"1,759","3,015","2,341","2,823","2,499","2,849","1,743","2,604","21,967"
"Rockfish, cowcod...........................",,48,69,49,145,118,224,171,314,283,118,21,62,"1,622"
"Rockfish, darkblotched...................",,"5,181","1,210","3,049","4,748","6,425","2,734",214,573,630,0,359,0,"25,124"
"Rockfish, flag.................................",,0,27,0,3,15,9,1,6,0,169,36,15,279
"Rockfish, gopher............................",,"3,316",824,"3,189","3,617","4,881","8,806","6,657","10,628","8,004","7,179","9,167","11,622","77,890"
"Rockfish, grass..............................",,763,408,"1,701","3,847","4,177","7,194","8,536","13,975","10,164","4,736","3,237","4,057","62,794"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, greenblotched.................",,0,0,0,0,0,0,79,115,0,138,0,145,477
"Rockfish, greenspotted...................",,265,49,301,4,991,"1,258","1,242",931,608,507,57,264,"6,478"
"Rockfish, greenstriped....................",,25,0,232,347,24,264,26,13,32,0,9,14,986
"Rockfish, group black/blue.............",,0,0,0,0,0,0,0,48,0,0,0,0,48
"Rockfish, group bolina....................",,"1,439",808,798,482,"1,167","7,901","4,331","13,749","7,491","7,107","9,953","12,224","67,449"
"Rockfish, group canary/vermili.......",,0,0,0,0,0,0,0,0,0,0,18,5,23
"Rockfish, group deepwater reds.....",,15,0,20,0,38,180,0,0,0,0,0,18,271
"Rockfish, group gopher..................",,748,597,46,38,297,940,"1,291","3,834","2,230","1,068",381,590,"12,059"
"Rockfish, group nearshore.............",,93,186,155,68,32,605,"1,203","1,369","1,398","1,111",170,358,"6,748"
"Rockfish, group red........................",,"1,304",881,"1,756","2,977","5,257","5,068","3,618","3,147","3,560","3,530","4,547","4,666","40,312"
"Rockfish, group rosefish.................",,"22,041","10,901","6,950","14,613","12,065","15,600","5,663","18,831","28,533","15,166","26,659","11,569","188,591"
"Rockfish, group shelf......................",,224,10,846,"2,047","9,619","9,131","4,546","6,148","3,389","3,519","2,602",964,"43,043"
"Rockfish, group slope.....................",,"9,082","11,270","2,935","30,965","37,408","31,819","68,089","57,357","68,951","30,652","59,050","21,733","429,310"
"Rockfish, group small.....................",,120,40,"1,020","1,383","3,045","2,259","2,477",298,"1,083",312,237,107,"12,382"
"Rockfish, kelp.................................",,126,49,123,128,160,239,326,358,240,101,158,210,"2,218"
"Rockfish, olive................................",,0,0,328,0,88,367,333,604,157,95,72,143,"2,186"
"Rockfish, quillback.........................",,546,33,272,335,653,779,972,"1,271","4,068","2,771",856,"1,298","13,852"
"Rockfish, redbanded......................",,671,0,24,48,317,178,189,922,"2,306","3,364",26,"2,099","10,143"
"Rockfish, rosethorn........................",,0,0,15,0,23,27,20,9,52,83,0,58,286
"Rockfish, rosy................................",,0,0,0,100,0,13,65,0,4,0,115,0,297
"Rockfish, shortbelly........................",,0,0,0,"3,640",4,"5,066",0,0,0,0,0,0,"8,710"
"Rockfish, speckled.........................",,0,0,0,0,0,4,0,39,0,0,173,8,224
"Rockfish, splitnose.........................",,"7,821",397,"1,449","18,349","6,722","4,007",892,511,"1,724",546,"5,864","2,586","50,868"
"Rockfish, starry..............................",,33,0,14,19,10,38,22,16,1,0,150,32,334
"Rockfish, stripetail..........................",,0,0,0,0,0,0,0,0,0,0,15,0,15
"Rockfish, swordspine.....................",,0,0,0,0,0,"1,778",0,0,0,0,0,0,"1,778"
"Rockfish, treefish...........................",,0,1,176,254,270,654,690,473,457,235,202,308,"3,720"
"Rockfish, unspecified.....................",,"1,595","4,010","2,555","5,176","2,659","4,717","3,450","10,612","7,438","2,147","2,625","3,564","50,549"
"Rockfish, vermilion.........................",,"1,313",511,637,569,"1,787","2,278","3,103","2,664","3,670","2,149","1,812","2,358","22,851"
"Rockfish, widow.............................",,"97,320","45,537","159,382","122,271","49,589","131,410","145,636","125,204","243,679","265,120","181,626","42,457","1,609,230"
"Rockfish, yelloweye........................",,145,76,150,178,665,906,603,"1,108","2,077",767,367,239,"7,278"
"Rockfish, yellowtail.........................",,358,404,174,520,"27,075","28,684","18,916","5,673","16,487","9,626","1,197","1,552","110,665"
Sablefish........................................,,"132,660","104,917","173,017","239,687","192,841","292,345","387,621","993,752","422,148","383,571","460,850","352,656","4,136,065"
"Salmon, Chinook............................",,0,0,0,0,"1,889,484","1,535,869","585,850","342,439","775,337","8,945",0,0,"5,137,923"
"Salmon, Roe (Chinook, Coho)...",,0,0,0,0,0,1,21,101,185,0,0,"1,260","1,567"
Salmon...........................................,,0,0,0,0,171,0,165,0,221,0,0,0,557
"Sanddab, Pacific............................",,0,"4,311",0,0,0,0,"2,987","3,014",100,0,0,34,"10,446"
Sanddab.........................................,,"68,458","17,902","96,195","105,645","75,730","154,033","155,363","284,465","212,060","285,241","124,006","52,100","1,631,198"
"Sardine, Pacific..............................",,"13,872,554","18,428,692","21,744,435","8,784,292","4,354,590","2,920,979","3,770,973","6,348,966","11,738,897","9,875,772","5,217,641","11,135,164","118,192,953"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Scorpionfish, California..................",,"1,110",281,"2,740","2,069","2,307","5,920","6,183","3,507","1,372","2,651","4,260","8,853","41,252"
"Sculpin, staghorn...........................",,314,44,14,86,249,168,50,289,"1,006","1,112",429,454,"4,216"
"Seabass, white...............................",,"4,386","10,574","5,609",306,381,"92,261","58,368","24,356","5,638","8,016","4,938","2,736","217,569"
"Shad, American..............................",,0,0,0,0,0,0,0,2,0,0,4,0,6
"Shad, threadfin...............................",,"5,391",0,0,0,0,18,598,"2,717","7,488","8,229","13,384","14,416","52,241"
"Shark, Pacific angel.......................",,"7,363","6,399","3,419","2,369","1,414","2,311","1,166","1,058",911,"3,622","1,500","5,886","37,417"
"Shark, basking...............................",,0,0,0,0,76,0,0,0,0,0,0,0,76
"Shark, bigeye thresher...................",,155,0,0,0,"2,001","1,162",797,238,233,849,0,503,"5,938"
"Shark, blue.....................................",,0,0,0,73,0,27,58,144,0,82,0,0,384
"Shark, brown smoothhound............",,329,174,431,126,137,443,65,418,95,131,"1,433",773,"4,554"
"Shark, dusky..................................",,0,0,371,0,0,0,0,0,0,0,0,0,371
"Shark, gray smoothhound..............",,0,650,33,0,30,25,3,44,0,56,52,0,893
"Shark, horn....................................",,0,21,0,0,0,0,0,0,0,44,0,0,65
"Shark, leopard................................",,"1,119","1,422","1,677","2,878","3,258","2,075","3,013","2,461","1,556","1,309",841,"1,492","23,100"
"Shark, pelagic thresher..................",,0,0,70,0,18,7,0,85,745,"2,331",788,161,"4,205"
"Shark, sevengill..............................",,4,0,7,12,7,0,0,10,0,0,0,0,40
"Shark, shortfin mako......................",,"6,690",964,"1,527",349,419,"8,019","19,454","14,938","20,897","23,996","13,867","10,504","121,624"
"Shark, sixgill...................................",,0,0,0,0,0,0,15,0,0,0,0,0,15
"Shark, smooth hammerhead..........",,0,0,0,0,0,50,0,0,0,0,0,0,50
"Shark, soupfin................................",,"4,451","4,072","1,963","2,377","3,554","11,645","9,143","6,776","2,942","1,188","5,327","5,025","58,462"
"Shark, spiny dogfish.......................",,"6,209","1,863",512,482,"2,291","1,942","2,396","11,327","3,203",0,538,822,"31,584"
"Shark, thresher...............................",,"29,126","3,219",86,743,"78,254","38,652","45,240","13,526","14,412","11,996","41,310","48,850","325,414"
"Shark, unspecified..........................",,773,157,"1,151","4,621",550,667,18,527,536,76,"1,555","1,085","11,716"
"Shark, white...................................",,0,0,0,0,0,88,61,0,0,0,"1,700",0,"1,849"
"Sharks, cow...................................",,0,0,0,75,0,0,80,30,0,188,0,0,373
"Sheephead, California....................",,"12,522","1,689","13,814","19,594","9,569","23,650","14,243","16,300","21,048","9,767","16,848","14,570","173,615"
Silversides......................................,,0,0,0,0,0,0,0,0,5,0,0,232,237
"Skate, California.............................",,"1,779",0,0,0,0,0,0,0,0,0,0,3,"1,782"
"Skate, big.......................................",,0,0,0,19,0,0,0,0,0,0,0,0,19
"Skate, unspecified..........................",,"95,903","79,860","42,411","158,659","153,826","127,867","161,101","123,495","159,678","84,657","48,213","36,024","1,271,691"
"Smelt, night....................................",,376,"31,491","133,293","162,655","113,878","63,538","50,927","24,295",599,0,0,0,"581,052"
"Smelt, surf......................................",,0,748,"2,728","15,550","45,677","69,350","78,888","12,209","2,089","1,558",7,0,"228,804"
"Smelts, true....................................",,0,0,0,180,0,9,0,2,0,200,0,0,391
"Sole, Dover....................................",,"553,209","442,557","633,894","1,213,180","402,644","546,587","698,917","453,413","845,355","359,366","670,608","487,483","7,307,213"
"Sole, English..................................",,"22,580","11,582","25,606","95,429","46,977","61,299","59,366","88,099","94,090","94,559","47,699","28,052","675,338"
"Sole, bigmouth...............................",,0,0,4,0,0,143,0,0,0,0,0,0,147
"Sole, butter.....................................",,0,0,0,0,0,0,0,0,0,0,50,0,50
"Sole, fantail....................................",,0,0,0,65,264,0,155,8,0,36,0,107,635
"Sole, petrale...................................",,"427,779","136,767","27,728","139,083","56,903","49,851","52,462","84,392","58,655","63,243","78,512","235,663","1,411,037"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Sole, rex.........................................",,"60,608","37,348","34,802","56,489","26,798","32,275","45,430","40,659","53,163","30,289","42,346","41,211","501,417"
"Sole, rock.......................................",,"1,386",658,"1,225","1,442","3,202","3,279",865,330,"1,034",553,"1,142","1,427","16,542"
"Sole, sand......................................",,"7,047","8,417","4,549","6,062","2,832","22,421","6,576","4,631","1,858","8,020","4,601","7,204","84,218"
"Sole, unspecified............................",,"1,472","1,254","2,151","3,181","2,060","2,700","1,841","1,175","1,093","4,159","4,120","4,086","29,292"
"Stickleback, threespine..................",,9,13,13,6,7,11,7,9,16,9,12,12,123
Stingray..........................................,,0,0,0,0,0,0,0,0,0,0,300,178,478
"Surfperch, barred...........................",,"2,152",440,970,"2,991",0,0,277,396,552,514,457,744,"9,493"
"Surfperch, black.............................",,0,114,311,173,0,0,0,233,29,52,123,96,"1,131"
"Surfperch, pile................................",,108,124,10,156,0,0,0,0,0,0,0,0,398
"Surfperch, rainbow.........................",,4,1,0,20,2,2,15,0,0,1,0,4,48
