"",,,,,,,,,,,,,,Total
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, bank...........................",,"1,540","12,758","5,539","4,308","4,543","12,197","19,285","6,831","6,082","12,406","6,361","31,682","123,531"
"Rockfish, black-and-yellow.........",,487,"1,343",1,41,"3,325","3,140","3,850","3,310","1,565","1,242",741,577,"19,620"
"Rockfish, black...........................",,"2,195","9,057","18,502","18,789","25,373","33,127","24,414","34,537","38,670","20,408","3,757",514,"229,343"
"Rockfish, blackgill......................",,"16,315","11,640","8,234","4,992","17,286","11,534","17,079","18,874","29,047","16,563","13,504","14,878","179,945"
"Rockfish, blue............................",,"1,150","2,088","2,801",615,"1,210","1,559","3,388","3,151","4,838","2,544","2,944",277,"26,564"
"",,,,,,,,,,,,,,Total
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, bocaccio.....................",,"3,174","4,857","2,631","2,688","4,834","3,585","9,192","5,752","8,058","3,468",0,35,"48,274"
"Rockfish, bronzespotted.............",,0,0,0,0,14,0,11,30,0,0,0,0,55
"Rockfish, brown.........................",,"3,506","3,854",331,384,"5,272","5,650","5,333","5,248","5,986","9,583","6,964","6,976","59,087"
"Rockfish, canary........................",,599,"1,721","1,063","1,848","3,434","4,943","5,656","7,070","5,059",561,56,0,"32,008"
"Rockfish, chameleon..................",,0,0,0,0,0,0,0,0,13,0,16,0,29
"Rockfish, chilipepper..................",,"41,095","71,477","45,507","45,826","104,733","52,963","85,338","42,442","74,302","100,014","54,842","43,255","761,792"
"Rockfish, copper (whitebelly)......",,0,0,0,0,53,0,0,0,0,0,0,0,53
"Rockfish, copper........................",,529,"3,810","4,848","4,638","2,707","2,062","2,351","3,303","2,803","3,762","1,399",531,"32,744"
"Rockfish, cowcod.......................",,0,0,0,0,0,0,56,0,0,0,0,0,56
"Rockfish, darkblotched...............",,519,714,"2,444","8,219","5,954","10,185","3,501","2,580","2,006",647,"1,643",76,"38,487"
"Rockfish, flag.............................",,0,0,0,30,10,0,8,6,12,0,0,0,65
"Rockfish, gopher........................",,"6,745","7,374",654,678,"10,302","9,194","13,722","10,028","9,939","13,847","7,918","6,295","96,698"
"Rockfish, grass..........................",,"1,126","2,100","1,654","2,834","6,381","5,777","7,209","6,477","6,396","6,559","3,635","1,066","51,213"
"Rockfish, greenblotched.............",,0,0,0,10,92,111,205,596,80,0,0,0,"1,094"
"Rockfish, greenspotted..............",,34,25,45,51,103,136,178,217,114,273,126,98,"1,401"
"Rockfish, greenstriped...............",,0,40,13,0,20,158,114,215,55,12,0,0,626
"Rockfish, group black/blue.........",,5,42,0,176,0,0,0,0,0,798,0,0,"1,021"
"Rockfish, group bocaccio/chili....",,0,0,26,0,0,0,0,0,0,0,0,0,26
"Rockfish, group bolina................",,591,"1,726",234,152,"1,020","1,027","4,424","6,728","8,220","8,727","2,230",897,"35,977"
"Rockfish, group canary/vermili...",,0,0,0,0,0,0,0,0,5,0,0,0,5
"Rockfish, group gopher..............",,126,257,0,0,185,289,662,"1,348",620,487,361,205,"4,540"
"Rockfish, group nearshore.........",,133,120,93,34,"1,062",340,285,221,"1,327",756,"1,835",46,"6,250"
"Rockfish, group red....................",,"1,089",670,963,915,"2,855","1,374","3,031","3,774","6,501",901,377,251,"22,700"
"Rockfish, group rosefish.............",,"9,943","11,510","27,727","32,285","12,302","19,333","11,212","16,966","21,737","8,292","20,099","13,774","205,179"
"Rockfish, group shelf..................",,444,620,"1,460",957,"3,343","4,981","2,284","4,194","8,430",223,24,2,"26,961"
"Rockfish, group slope.................",,"21,625","27,746","38,669","39,684","39,462","25,991","29,303","47,278","69,637","37,258","10,926","10,338","397,917"
"Rockfish, group small.................",,383,50,22,162,108,"1,209","1,918",477,"1,997",882,0,120,"7,327"
"Rockfish, kelp............................",,45,118,0,13,346,169,369,288,180,331,79,212,"2,151"
"Rockfish, olive............................",,171,156,225,3,105,257,395,285,129,178,302,143,"2,349"
"Rockfish, pinkrose......................",,0,0,0,0,3,0,0,0,0,0,0,0,3
"Rockfish, quillback.....................",,287,"2,087","2,810","3,597","1,483","2,927","3,706","1,887","2,140","4,344",779,0,"26,047"
"Rockfish, redbanded..................",,321,58,87,12,0,0,144,0,47,0,0,72,741
"Rockfish, rosethorn....................",,38,57,11,12,20,0,40,140,194,0,0,0,511
"Rockfish, rosy............................",,137,0,17,0,0,0,0,20,326,131,0,"1,937","2,568"
"",,,,,,,,,,,,,,Total
"",Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, shortbelly....................",0,,"3,478","6,807",1,"1,184",0,0,0,0,0,0,0,"11,470"
"Rockfish, speckled.....................",0,,5,0,0,0,0,3,16,22,0,0,0,46
"Rockfish, splitnose.....................","3,162",,"4,766","3,810","3,316","1,589","1,700","2,848","3,760","1,937","2,755",119,712,"30,474"
"Rockfish, starry..........................",0,,0,0,7,0,1,9,72,145,1,0,0,234
"Rockfish, swordspine.................",0,,0,0,46,0,0,0,0,0,0,0,0,46
"Rockfish, treefish.......................",178,,118,143,216,337,164,448,274,310,587,354,270,"3,398"
"Rockfish, unspecified.................",933,,"1,278","2,784","2,676","2,153","2,183","4,205","1,905","9,199","5,502",174,699,"33,692"
"Rockfish, vermilion.....................","3,756",,"3,492","3,431","1,367","1,163","1,080","3,304","3,813","3,575",332,0,0,"25,314"
"Rockfish, widow.........................","4,246",,"128,155","80,127","98,589","89,693","43,821","6,827","9,591","5,827","8,471","219,530","36,417","731,293"
"Rockfish, yelloweye....................",50,,296,681,934,"1,019","1,996","1,369","1,191",705,136,0,10,"8,386"
"Rockfish, yellowtail.....................",305,,"4,328","5,009","19,622","10,264","30,995",727,"4,409","4,110","2,498","8,301",992,"91,558"
