"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, deepbody........................",,11,0,0,0,0,14,0,0,0,0,0,0,25
"Anchovy, northern..........................",,"1,748,494","757,718","368,922","3,271,877","3,569,431","994,722","1,519,096","476,639","991,886","1,198,781","71,022","6,189","14,974,777"
"Barracuda, California......................",,12,0,0,"1,788","11,423","10,745","22,406","9,194","2,315",94,0,0,"57,976"
"Bass, giant sea..............................",,"1,154","1,124",795,346,350,699,"1,824",892,330,91,243,808,"8,656"
"Blackfish, Sacramento...................",,0,95,207,79,0,0,0,0,0,0,0,0,381
Blacksmith.....................................,,0,105,21,1,0,0,3,0,0,0,0,0,130
"Bonito, Pacific................................",,617,230,647,0,257,221,"2,364","98,698","540,386",403,"136,349",38,"780,209"
Butterfish (Pacific pompano)......,,266,75,113,156,"2,790","2,369","2,415","2,057","2,161",732,0,2,"13,136"
Cabezon.........................................,,"2,160","2,693",830,988,"23,246","20,655","30,398","21,366","6,203",0,0,0,"108,540"
Carp...............................................,,"13,688","6,297","4,012","2,137","6,374","5,704","1,637","1,781","2,092","5,577","7,998","5,069","62,366"
"Cod, Pacific....................................",,0,0,0,0,0,26,0,49,54,0,0,0,129
"Croaker, black................................",,0,16,0,0,0,0,0,0,0,0,0,0,16
"Croaker, unspecifed.......................",,"5,378","10,593","6,558",520,"4,133","6,333","4,525","3,129","3,213","2,274",344,"1,568","48,567"
"Croaker, white................................",,"5,092","5,665","5,072","4,799","10,578","6,308","7,863","7,841","6,054","3,517","2,839","1,633","67,261"
Dolphin (fish).............................,,0,555,142,421,395,0,27,491,413,0,0,0,"2,444"
"Eel, California moray......................",,0,89,57,0,0,0,0,0,0,"1,429",440,61,"2,077"
"Eel, monkeyface (prickleback)...",,0,4,0,0,3,23,18,20,11,4,26,52,159
"Eel, wolf (wolf-eel).....................",,2,0,0,0,25,0,14,0,0,0,0,0,41
Eel..................................................,,0,0,0,0,2,18,15,0,0,0,0,0,35
Escolar...........................................,,770,"1,033",289,687,219,0,0,0,0,0,0,0,"2,998"
"Fish, unspecified............................",,82,"2,131","1,142",560,2,498,464,174,0,263,142,52,"5,509"
"Flounder, arrowtooth......................",,753,"19,740","16,982","5,706","7,901","9,552","11,622","3,353","9,322","3,052","9,523",138,"97,644"
"Flounder, starry..............................",,"7,431","7,166","5,511","2,080","5,104","4,426","8,481","16,277","6,631",972,"4,071","6,085","74,234"
"Flounder, unspecified.....................",,0,43,76,10,469,182,525,843,128,22,50,423,"2,772"
Flyingfish........................................,,0,0,0,0,0,10,0,0,0,0,0,0,10
"Goby, yellowfin...............................",,0,0,27,0,0,0,0,0,0,0,0,0,27
"Greenling, kelp...............................",,389,577,16,1,"1,271",535,"1,299",397,0,0,0,0,"4,486"
Grenadier.......................................,,"1,952","6,279","23,822","40,287","16,019","17,796","32,451","28,699","55,095","43,130","30,070","10,135","305,735"
"Guitarfish, shovelnose....................",,"1,835","1,650","2,749","2,776","1,437",562,25,121,"1,290","1,070","1,029","2,762","17,306"
Hagfishes.......................................,,0,0,0,0,0,5,11,0,0,150,474,"3,826","4,466"
Halfmoon........................................,,0,19,58,56,0,10,1,0,1,0,0,0,145
"Halibut, California...........................",,"115,261","114,474","100,433","50,685","47,055","89,765","166,946","145,391","50,841","32,299","29,004","58,792","1,000,946"
"Halibut, unspecified........................",,0,2,0,0,0,0,0,16,0,0,0,0,18
"Herring, Pacific - roe on kelp..........",,0,"5,558","6,931",0,0,0,0,0,0,0,0,0,"12,489"
"Herring, Pacific - roe......................",,"3,265,343","160,714",0,0,80,0,0,0,0,0,0,"59,294","3,485,430"
"Herring, Pacific...............................",,"77,040",0,400,0,0,0,"55,372",0,0,0,0,0,"132,812"
"Jacks, unspecified..........................",,0,0,0,0,0,0,0,0,0,5,0,0,5
Jacksmelt.......................................,,733,300,"1,792","1,507","1,418",545,"1,902","16,656","9,818",867,909,"1,878","38,322"
Kelpfishes......................................,,"4,645",0,0,0,0,1,0,0,27,0,0,0,"4,673"
"Lamprey, Pacific............................",,0,0,12,0,643,45,0,0,0,0,0,0,700
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
Lingcod..........................................,,"2,211","1,514","2,079","2,029","19,328","18,612","26,451","25,036","24,154","13,284","2,121",818,"137,636"
"Lizardfish, California.......................",,32,25,0,6,0,0,0,23,0,0,0,0,86
Louvar............................................,,297,0,50,0,0,30,48,335,242,244,298,81,"1,624"
"Mackerel, Pacific............................",,"1,150,638","76,636","163,152","148,728","1,601","1,779","126,518","1,289,946","842,300","2,105,405","785,530","1,177,233","7,869,466"
"Mackerel, jack................................",,"500,578","112,733","694,981","358,499",321,"5,516","22,060","16,385","171,854","143,476","3,541","234,431","2,264,375"
"Mackerel, unspecified....................",,0,0,0,0,10,0,162,6,0,11,11,0,200
Oilfish.............................................,,0,0,0,420,0,0,0,0,0,0,0,0,420
Opah..............................................,,"10,251",594,53,156,275,509,103,"1,991","2,789","1,613","8,727","14,402","41,462"
Opaleye..........................................,,0,383,"1,113",416,23,"1,430","1,855","2,887","1,771","3,190","2,975","2,044","18,085"
"Pomfret, Pacific..............................",,310,3,0,26,0,0,0,0,0,0,9,397,745
Queenfish.......................................,,0,0,0,0,127,0,0,0,0,0,0,0,127
"Ray, Pacific electric........................",,80,10,60,78,28,135,127,120,80,0,310,0,"1,028"
"Ray, bat.........................................",,0,71,57,348,226,92,67,197,65,0,0,565,"1,688"
"Ray, unspecified.............................",,0,0,0,0,32,2,0,0,0,0,0,0,34
"Rockfish, China..............................",,211,283,23,33,465,754,670,617,847,719,426,61,"5,108"
"Rockfish, Mexican..........................",,0,0,0,48,0,0,0,0,0,0,108,0,156
"Rockfish, Pacific ocean perch........",,0,118,0,0,0,0,10,0,0,0,0,0,128
"Rockfish, aurora.............................",,142,61,32,137,129,114,68,78,25,12,67,55,920
"Rockfish, bank...............................",,"6,212","29,521","10,492","4,558","1,227","9,235","47,332","23,029","44,239","6,489","9,920","7,116","199,370"
"Rockfish, black-and-yellow.............",,730,611,6,7,"3,154","2,890","5,559","4,621","2,436","1,217","1,412",443,"23,086"
"Rockfish, black...............................",,436,"1,751","6,625","19,089","21,402","13,817","18,338","25,059","15,612","13,015","9,025","1,686","145,855"
"Rockfish, blackgill..........................",,"14,529","16,785","40,463","17,887","9,968","39,091","31,525","13,783","15,656","22,303","13,967","13,723","249,678"
"Rockfish, blue................................",,"1,616","1,385",377,348,"2,250","1,039","1,971","3,342","3,302","1,949","2,112","1,303","20,993"
"Rockfish, bocaccio.........................",,282,352,393,"1,060",591,"1,806","3,089",836,"1,400","2,084","6,567",834,"19,293"
"Rockfish, bronzespotted.................",,0,47,0,0,0,18,0,0,23,0,0,0,88
"Rockfish, brown..............................",,"5,555","3,863",304,128,"3,696","5,749","6,981","5,909","6,059","6,579","6,443","2,091","53,357"
"Rockfish, canary............................",,16,0,7,123,224,504,485,355,321,3,12,0,"2,050"
"Rockfish, chameleon......................",,0,0,18,0,0,0,0,0,0,0,0,0,18
"Rockfish, chilipepper......................",,801,"2,486","3,198","27,610","23,188",778,"34,366","12,300","28,657","2,984","1,058","2,197","139,623"
"Rockfish, copper (whitebelly).....",,0,0,248,0,0,0,0,0,0,0,80,2,330
"Rockfish, copper............................",,174,510,669,"1,623","1,202","1,465",752,"1,277","1,181","1,318",444,178,"10,794"
"Rockfish, cowcod...........................",,0,0,0,0,0,0,0,0,0,54,4,10,68
"Rockfish, darkblotched...................",,16,532,"1,243","3,934","16,008","10,422","10,407","18,659","14,028",381,52,0,"75,681"
"Rockfish, flag.................................",,397,0,42,10,18,24,18,11,7,0,5,10,541
"Rockfish, gopher............................",,"2,568","3,159",44,28,"4,789","3,995","5,360","3,876","4,646","3,617","1,829",855,"34,766"
"Rockfish, grass..............................",,845,637,581,396,"3,360","3,424","6,399","5,668","4,162","1,917","2,511",190,"30,090"
"Rockfish, greenblotched.................",,0,0,10,8,393,261,8,46,11,7,0,0,744
"Rockfish, greenspotted...................",,0,10,42,52,21,7,112,201,88,78,26,5,641
"",Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, greenstriped....................",0,,0,0,0,0,0,11,0,10,67,127,4,219
"Rockfish, group bolina....................",137,,891,5,19,"1,121",724,656,"1,347",441,839,552,100,"6,832"
"Rockfish, group deep nearshore.....",15,,0,0,0,0,302,0,0,0,0,0,0,317
"Rockfish, group deepwater reds.....",0,,0,0,0,0,0,0,25,0,0,0,329,354
"Rockfish, group gopher..................",250,,545,0,0,408,305,589,317,158,384,80,2,"3,037"
"Rockfish, group nearshore.............",31,,0,2,1,92,38,0,132,50,0,33,3,381
"Rockfish, group red........................",356,,366,"2,720","2,470","2,598","2,892","1,907","3,734",838,"1,529",547,"1,674","21,630"
"Rockfish, group rosefish.................","32,757",,"44,470","12,911","12,787","14,965","24,888","83,973","32,705","47,770","15,852","31,576","34,570","389,224"
"Rockfish, group shelf......................",50,,0,818,196,701,646,707,"1,387",318,16,535,118,"5,491"
