"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, bocaccio.......................",,341,"1,341",498,733,"1,312",796,728,654,"3,635","2,867","1,758",745,"15,407"
"Rockfish, bronzespotted...............",,0,0,0,0,0,0,8,32,0,0,0,0,40
"Rockfish, brown.............................",,"1,030","2,733",6,193,"7,368","6,855","6,718","7,204","8,057","4,804","4,311","3,803","53,082"
"Rockfish, canary............................",,0,18,192,28,332,116,224,282,419,72,89,9,"1,780"
"Rockfish, chameleon....................",,0,0,0,0,0,0,0,0,0,0,39,109,148
"Rockfish, chilipepper....................",,"2,494","11,079","12,995","7,404","25,488","7,150","13,205","35,923","41,777","17,845","38,415","13,969","227,743"
"Rockfish, copper...........................",,432,607,318,337,"1,228","1,175","1,500","1,358","1,186","1,430","1,790",726,"12,086"
"Rockfish, darkblotched................",,"7,001","11,186","8,901","4,483","5,215","4,666","4,078","3,002","5,165","5,718","3,650","2,192","65,257"
"Rockfish, flag.................................",,15,27,0,0,38,47,33,48,37,78,14,19,355
"Rockfish, gopher...........................",,"2,970","4,120",3,2,"6,648","6,024","6,903","7,434","8,136","4,151","4,272","2,869","53,532"
"Rockfish, grass...............................",,"1,147","1,636",9,0,"5,023","3,858","5,400","5,948","5,798","2,871","2,313","1,069","35,070"
"Rockfish, greenblotched.............",,73,125,0,0,0,25,10,0,0,0,2,128,363
"Rockfish, greenspotted................",,100,83,0,12,724,135,135,227,488,528,122,210,"2,764"
"Rockfish, greenstriped..................",,1,45,0,0,1,6,4,9,3,92,12,7,179
"Rockfish, group bocaccio/chili....",,0,0,642,0,0,0,0,0,0,0,0,0,642
"Rockfish, group bolina..................",,0,0,0,0,0,112,12,67,57,8,13,5,274
"Rockfish, group deep nearshore",,0,9,0,6,29,39,0,1,7,0,0,0,91
"",Species,January,February,March,April,May,June July,,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, group gopher................",,67,0,0,0,28,50  20,,8,150,5,71,185,584
"Rockfish, group nearshore...........",,159,61,0,0,66,213  284,,346,131,0,47,40,"1,347"
"Rockfish, group red.......................",,276,184,0,0,367,697  671,,309,"3,753",963,589,733,"8,541"
"Rockfish, group rosefish................",,330,"1,386",74,0,523,8  29,,22,0,240,196,477,"3,285"
"Rockfish, group shelf.....................",,713,705,103,177,"1,244","1,004  1,116",,712,295,569,425,316,"7,378"
"Rockfish, group slope...................",,"11,677","17,964","13,446","23,310","7,248","18,778  13,972",,"16,850","17,780","4,422","18,807","7,678","171,932"
"Rockfish, group small....................",,96,0,0,0,0,0  0,,0,0,0,0,0,96
"Rockfish, honeycomb..................",,0,0,0,0,8,0  0,,0,0,1,0,0,9
"Rockfish, kelp.................................",,73,147,0,0,138,84  45,,24,63,108,219,180,"1,081"
"Rockfish, olive................................",,104,37,0,0,250,76  176,,258,202,155,211,224,"1,692"
"Rockfish, quillback........................",,351,"1,310","1,626","1,203","1,051","1,523  1,802",,820,"1,586","1,167","1,141",13,"13,594"
"Rockfish, redbanded....................",,0,0,9,37,84,17  111,,215,125,10,126,0,734
"Rockfish, rosethorn........................",,2,0,0,0,0,0  0,,0,0,0,1,0,3
"Rockfish, rosy.................................",,78,31,0,0,47,29  83,,323,138,74,72,11,887
"Rockfish, speckled........................",,0,4,0,0,18,43  98,,32,25,44,2,2,268
"Rockfish, splitnose.........................",,"8,371","2,693","2,962","5,847","6,026","10,173  10,921",,"9,875","32,481","49,388","30,470","19,659","188,865"
"Rockfish, squarespot.....................",,23,26,0,17,13,0  10,,0,0,4,0,0,93
"Rockfish, starry...............................",,88,156,0,0,122,184  150,,252,118,88,86,194,"1,438"
"Rockfish, swordspine.....................",,3,3,0,0,0,0  0,,0,0,0,0,0,7
"Rockfish, treefish............................",,123,165,0,0,329,279  432,,254,191,117,129,111,"2,129"
"Rockfish, unspecified....................",,364,289,0,65,86,86  86,,110,104,68,106,136,"1,498"
"Rockfish, vermilion........................",,851,"2,703",865,"1,029","3,639","4,035  2,898",,"3,212","3,883","4,034","2,326","1,506","30,981"
"Rockfish, widow............................",,119,563,111,83,"63,741",309  358,,"1,517",507,119,29,100,"67,556"
"Rockfish, yelloweye......................",,0,0,0,0,37,4  0,,0,9,4,0,0,54
"Rockfish, yellowtail........................",,100,80,79,9,"2,102","1,860  643",,504,"1,140",906,366,293,"8,080"
Sablefish.........................................,,"134,317","178,841","253,243","305,210","323,107","333,869  378,561",,"389,751","436,195","260,612","276,968","151,730","3,422,402"
"Salmon, Chinook...........................",,0,0,0,0,"1,303",0  0,,57,0,0,0,0,"1,360"
"Sanddab, Pacific..........................",,0,0,0,0,0,0  0,,0,0,0,157,17,174
Sanddab........................................,,528,810,"33,325","50,299","33,809","47,298  60,772",,"29,969","5,710","3,242","10,479","1,471","277,711"
"Sardine, Pacific.............................",,"5,121,286","8,740,968","18,144,278","15,307,247","11,394,453","28,451  38,525,425",,"8,595,023","21,393,070","16,361","113,342","58,301","127,438,205"
"Sardine, juvenile............................",,0,0,0,0,0,0  0,,0,101,0,0,0,101
Sargo..............................................,,0,0,0,0,2,2  15,,8,0,0,0,0,27
"Scorpionfish, California.................",,522,428,19,68,907,"1,254  2,087",,"1,082",848,209,314,220,"7,959"
"Sculpin, staghorn..........................",,103,33,32,102,190,191  267,,375,565,"1,079","1,509",510,"4,955"
"Seabass, white..............................",,"5,619","20,363","15,004","1,030",673,"254,162  219,392",,"79,918","22,409","14,499","13,283",526,"646,877"
"Shad, American............................",,0,0,0,11,126,0  0,,"2,272",0,0,0,0,"2,409"
"Shad, threadfin.............................",,640,0,525,"4,015","3,120","670  1,520",,"2,795","7,905","12,450","12,270","2,715","48,625"
"Shark, Pacific angel......................",,"1,520","1,174",993,"4,844","1,391",856  243,,792,446,309,187,475,"13,230"
"Shark, bigeye thresher..................",,0,40,0,0,0,0  0,,319,"4,804","1,731",715,769,"8,378"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Shark, blacktip...............................",,0,0,0,0,0,0,0,0,0,0,0,7,7
"Shark, blue.....................................",,0,125,0,0,0,0,0,0,0,0,0,0,125
